[0.1s-182.7s] OK 那么市场今天是非常的
[183.7s-184.5s] 两级分化
[1541.4s-1542.8s] 你心里要有个数
[1544.0s-1545.4s] 心里要有个数的是
[1545.4s-1546.6s] 不是被K线影响
[1546.6s-1547.9s] 今天两根阳线了
[1548.2s-1548.7s] 你就
[1549.3s-1550.4s] 我没有中仓
[1550.4s-1551.6s] 我只有五层仓位
[1551.8s-1553.1s] 在这边拍摄大腿
[1553.1s-1554.4s] 然后一根大阴线了
[1555.0s-1556.1s] 还好我没有中仓
[1556.8s-1558.6s] 这种就是一个扯淡的逻辑
[1558.8s-1561.4s] 我们一定要不要鸡鱼后视镜
[1561.9s-1563.8s] 我们一定不要鸡鱼后视镜
[1563.8s-1565.4s] 我们鸡鱼的是什么
[1565.4s-1567.3s] 我们鸡鱼的是
[1570.1s-1572.2s] 在我们的模式体系下面
[1572.2s-1575.3s] 你去做码钱炮的交易计划
[1575.8s-1576.8s] 这才是核心
[1576.8s-1577.1s] 好
[1577.1s-1578.2s] 指数接到我们讲明白了
[1578.2s-1578.9s] 我就不多说了
[1578.9s-1579.2s] 来
[1579.2s-1579.7s] 晚快
[1581.4s-1581.6s] 来
[1581.6s-1582.0s] 晚快
[1584.0s-1584.6s] 市场偏好
[1584.6s-1586.0s] 我再给你们重复强调一下
[1586.0s-1586.7s] 现在的市场
[1586.7s-1587.9s] 市场偏好非常明显
[1588.0s-1589.0s] AI科技里面
[1589.0s-1590.2s] 所有的行业龙头
[1590.2s-1591.2s] 都会被轮一变
[1592.3s-1593.7s] 我说的是行业龙头
[1593.7s-1594.8s] 不是说市场龙头
[1594.8s-1595.7s] 什么叫市场龙头
[1595.7s-1596.7s] 什么叫行业龙头
[1596.9s-1598.4s] 行业龙头就是我
[1598.5s-1599.2s] 我举例的
[1599.2s-1600.6s] 比如说PCB板块
[1602.2s-1603.3s] 中国上市公司里面
[1603.3s-1604.9s] 最牛的几家是哪几家
[1606.2s-1606.8s] 能懂吗
[1606.8s-1608.1s] 做封装的最牛的
[1608.1s-1608.6s] 是哪几家
[1608.6s-1609.6s] 这叫做行业龙头
[1609.6s-1610.8s] 跟市场无关
[1611.2s-1612.5s] 只跟企业相关
[1614.0s-1614.5s] 懂吗
[1615.3s-1615.7s] 懂吗
[1615.7s-1616.9s] 所以现在市场的
[1616.9s-1617.5s] 审美分享简单
[1617.5s-1619.8s] 所有的AI科技里面的行业龙头
[1619.8s-1620.8s] 都会被轮一变
[1626.2s-1627.3s] 都会被轮一变
[1629.3s-1630.2s] 第2
[1630.4s-1631.0s] 市场
[1631.5s-1632.3s] 还是在
[1632.5s-1633.5s] 超级大容量
[1635.2s-1637.0s] 千亿事实以上的标的
[1637.0s-1638.9s] 才是大家的审美偏好
[1640.5s-1641.1s] 第3
[1641.7s-1643.4s] AI科技里面的核心
[1644.6s-1645.1s] 没了
[1645.3s-1647.1s] 这是目前市场的审美
[1647.5s-1648.7s] 这种审美的抱团
[1648.7s-1649.9s] 还在几次的发生
[1649.9s-1651.7s] 所以你们会发现一个现象
[1651.9s-1653.7s] 超短是不是拉急的要死
[1656.1s-1657.5s] 再给你们配上一句话
[1657.6s-1659.7s] 叫做波断不死
[1660.1s-1661.2s] 超短不来
[1661.9s-1663.7s] 波断波断将死
[1664.3s-1665.7s] 超短寄来
[1668.6s-1669.8s] 把这句话寄下来
[1670.9s-1672.1s] 波断不死
[1672.1s-1673.2s] 超短不来
[1673.7s-1675.2s] 波断将死
[1676.6s-1677.8s] 超短寄来
[1681.9s-1682.4s] OK
[1683.6s-1684.6s] 说句实话
[1685.9s-1688.7s] 我宁愿波断超短别来
[1688.7s-1689.4s] 永远别来
[1690.2s-1692.2s] 波断实在是太香了
[1693.4s-1695.1s] 轻松愉快
[1695.7s-1696.6s] 舒服
[1696.6s-1698.7s] 长得又比超短闷得多
[1699.4s-1700.5s] 现在的波断
[1700.9s-1703.8s] 自从AI卖化占据的
[1703.8s-1705.6s] 整个主导市场以后
[1707.6s-1708.7s] 我想说的是
[1709.2s-1709.8s] 波断
[1710.6s-1712.7s] 长起来比超短慢吗
[1713.9s-1715.2s] 比超短凶多了
[1715.2s-1715.8s] 我现在发现
[1715.8s-1717.0s] 现在所有的波断
[1717.0s-1718.5s] 个股随便拎出一个
[1718.5s-1719.2s] 长幅高的
[1719.2s-1720.8s] 都特别像以前的腰骨一样
[1723.7s-1724.6s] 有没有发现
[1725.2s-1725.9s] 说句实话
[1725.9s-1728.3s] 现在随便去拎出一个
[1728.3s-1729.5s] 波断里面的长幅
[1729.5s-1731.3s] 单边上涨的那种标记出来
[1731.3s-1732.5s] 跟腰骨有什么去
[1740.8s-1741.4s] 是不是
[1742.3s-1743.8s] 波断太爽了
[1744.6s-1748.0s] 这波断股长起来比超短还猛
[1750.4s-1752.0s] 而且关键波断标
[1752.0s-1752.8s] 敢中仓
[1753.4s-1754.1s] 敢拿
[1754.1s-1755.0s] 因为它逻辑硬
[1760.0s-1760.5s] 是吧
[1761.6s-1762.0s] 是吧
[1763.1s-1763.4s] 好
[1763.4s-1763.8s] OK
[1763.8s-1765.6s] 那么把我刚才的举极化
[1765.7s-1766.7s] 背下来就好了
[1766.7s-1768.0s] 市场主流的审美
[1768.0s-1770.4s] 以及我们要闭坑的地方
[1771.0s-1772.0s] 闭坑的地方
[1772.2s-1772.5s] 对啊
[1772.5s-1773.7s] 波断股永远都买得到
[1773.7s-1774.4s] 因为它容量大
[1774.7s-1776.3s] 每天几百亿的成交
[1777.4s-1777.8s] 对吧
[1777.8s-1779.0s] 每天几百亿的成交
[1779.5s-1779.7s] 来
[1779.7s-1780.5s] 那么板块方向
[1780.5s-1781.8s] 昨天跟大家讲的非常明确
[1781.8s-1782.2s] 我说了
[1782.2s-1784.2s] 细分领域有一个特别核心的方向
[1784.6s-1785.8s] 有一个特别牛逼的方向
[1785.8s-1788.8s] 叫做PCB
[1789.2s-1791.4s] 当然跟英伟达志泽消息有关系
[1791.4s-1792.2s] 所有人都看到了
[1792.2s-1793.8s] 周末其实发酵的也比较厉害
[1793.8s-1795.3s] 那他直接收益方向
[1795.3s-1797.1s] 就是印刷电路版和PCB
[1797.7s-1798.9s] 它是一种替代
[1799.5s-1800.3s] 所以这个方向
[1800.3s-1801.5s] 我在昨天直播的时候
[1801.5s-1803.7s] 以及周五韩中分享的时候
[1803.7s-1804.9s] 我在一点十五分
[1804.9s-1806.1s] 给你们分享了生意
[1806.9s-1808.2s] 给你们分享了生意
[1808.2s-1811.5s] 然后软件在周五的时候
[1811.5s-1812.4s] 给你们推了
[1813.6s-1821.5s] 给你们推的是互电
[1822.5s-1824.9s] 其实软件的敏感度真的很高
[1825.9s-1828.2s] 以后我要给你们多加点软件了
[1828.2s-1829.2s] 我发现很多人
[1829.2s-1831.5s] 他妈的天天盯着
[1831.5s-1832.9s] 天天盯着我了
[1833.3s-1834.2s] 这可不行
[1834.6s-1835.3s] 这可不行
[1836.5s-1837.6s] 软件这么牛逼
[1837.6s-1838.6s] 被我给埋没了
[1838.6s-1839.1s] 不行
[1841.0s-1842.5s] 你们去看周五的盘面
[1842.5s-1844.7s] 其实软件在9点33分
[1844.7s-1847.0s] 当所有人都在后织后绝
[1847.0s-1848.0s] 包括我
[1848.8s-1850.9s] 也在后织后绝的时候
[1851.2s-1854.6s] 他已经把两个最核心的方向跳出来了
[1854.8s-1857.1s] 元气件加PCB
[1859.5s-1861.5s] 在他跳出来的一刹那
[1861.7s-1864.9s] 当时的互电只有正6.4的涨幅
[1866.9s-1868.7s] 我一眼瞄到了互电
[1868.7s-1870.6s] 一看我靠PCB
[1870.6s-1872.8s] 立马反推去找消息面
[1872.8s-1874.1s] 到底是什么原因
[1874.1s-1876.4s] 导致今天软件推送了PCB
[1876.6s-1878.1s] 盘面会有这些异动
[1878.4s-1879.5s] 然后一看
[1881.2s-1883.2s] 然后一看盆顶秒板
[1884.5s-1886.3s] 秒板大单顶死
[1887.1s-1888.5s] 再加上英伟达的消息
[1888.5s-1889.9s] 再加上盘面的信号
[1889.9s-1891.9s] 立马就确认PCB
[1893.7s-1894.5s] 这条线
[1895.4s-1896.4s] 非常的凶悍
[1901.5s-1902.1s] 对吧
[1902.1s-1903.5s] 你们去想一下
[1903.5s-1904.8s] 你们去想一下
[1904.9s-1907.1s] 我给你们分享的京东方A
[1907.1s-1908.5s] 周五是不是也涨平了
[1908.8s-1910.3s] 我今天没有把它放在上面
[1910.3s-1911.6s] 因为我昨天直播的时候
[1911.6s-1912.2s] 跟你们讲过
[1912.2s-1913.2s] 这个标记还是
[1913.2s-1915.0s] 不是那种整个产业的大逻辑
[1915.0s-1918.5s] 它是一个个谷的一个逻辑
[1920.0s-1921.4s] 十几个点是不是也到手了
[1921.4s-1922.7s] 这个标记我都没说
[1923.0s-1924.8s] 我是分享过的京东方A
[1924.8s-1925.9s] 也是在我的朋友圈
[1928.8s-1929.4s] 对吧
[1929.8s-1930.8s] 所以你们去看
[1930.8s-1932.3s] 周五其实软件
[1932.3s-1934.5s] 软件其实比我还要显预判
[1934.5s-1935.6s] 我看到了以后
[1935.6s-1936.6s] 我是比较
[1936.8s-1937.9s] 我是看了很久
[1938.3s-1939.7s] 直到看到下午的时候
[1939.7s-1941.0s] 我发现中午的时候
[1941.0s-1942.0s] 其实中午收盘的时候
[1942.0s-1943.6s] 我发现PCB这个方向
[1943.6s-1945.2s] 元细节这个方向非常好
[1946.4s-1949.7s] 这个板块很多标的都其实才
[1949.7s-1951.8s] 我觉得是刚刚大爆发
[1954.6s-1955.3s] 你们懂吗
[1955.3s-1956.9s] 它其实很多标的不高
[1956.9s-1958.1s] 第一轮其实有涨过
[1958.1s-1959.7s] 第一轮我们买过一个核心标的
[1959.7s-1960.7s] 叫做东山精密
[1962.2s-1963.1s] 东山精密
[1963.1s-1964.3s] 一阶段的主声浪
[1964.3s-1965.6s] PCB也是主线
[1966.0s-1968.0s] 走出了一个大牛谷
[1968.0s-1969.1s] 叫做东山精密
[1969.3s-1970.8s] 现在到了四阶段
[1971.1s-1972.2s] 横盘的时候
[1972.5s-1973.4s] 这个方向因为
[1973.4s-1975.0s] 因为达了一则点燃消息
[1975.1s-1976.7s] 直接又炸上了
[1976.8s-1978.9s] 蜂窝很多的标地
[1979.4s-1981.5s] 那个走势都非常的好
[1985.5s-1986.7s] 走势都非常的好
[1989.3s-1990.6s] 所以软件
[1990.6s-1991.6s] 所以接下来
[1991.6s-1993.2s] 大家要盯牢软件
[1993.4s-1995.0s] 我教你们一套
[1995.4s-1996.9s] 在软件的基础上面
[1996.9s-1998.4s] 更牛逼的一套方法
[2000.0s-2001.5s] 当软件跳出哪
[2001.5s-2002.3s] 某个方向
[2002.3s-2004.8s] 这个方向是AI科技类的
[2005.0s-2006.2s] 立马去找
[2006.6s-2007.4s] 两件事情
[2007.4s-2007.9s] 第一
[2008.2s-2009.1s] 消息面
[2009.5s-2010.3s] 什么消息
[2010.3s-2011.6s] 大消息刺激它的
[2011.6s-2012.2s] 第一
[2012.5s-2013.8s] 这个消息你就去分析
[2013.8s-2016.1s] 是否具备产业逻辑
[2021.2s-2022.7s] 具备产业逻辑
[2024.3s-2025.2s] 这是第一个
[2026.2s-2027.2s] 第二个是什么
[2027.5s-2028.5s] 第二个是
[2029.1s-2030.8s] 盘中是否有大容量
[2030.8s-2033.2s] 和核心先锋军表态
[2033.4s-2036.1s] 尤其是在逆势的时候
[2036.6s-2038.5s] 还能够强势表态的
[2039.7s-2041.2s] 软件再跳出来的
[2042.1s-2043.1s] 非常凶悍
[2043.1s-2045.3s] 所以我把互电也帮你们加进去了
[2045.7s-2047.3s] 因为PCB
[2047.7s-2048.6s] 印刷电路版
[2048.6s-2049.9s] 三兄弟不分家
[2050.4s-2051.9s] 互电跟那个
[2052.1s-2053.1s] 我选的是
[2053.7s-2054.9s] 这两个字今天长的
[2054.9s-2055.8s] 好像一模一样
[2056.1s-2056.7s] 我看一下
[2056.9s-2058.2s] 这两个好像长的
[2058.2s-2059.1s] 几乎都没差
[2059.8s-2061.8s] 还是我选的稍微长得多
[2061.8s-2062.3s] 丢丢
[2062.3s-2063.4s] 没什么区别
[2063.4s-2064.3s] 一个7.88
[2064.4s-2065.5s] 一个7.43
[2065.5s-2066.4s] 互电跟生意
[2066.4s-2067.4s] 我跟你们讲过了
[2067.5s-2068.6s] 这两个标的
[2069.4s-2071.1s] 这两个标的区别是什么
[2071.1s-2073.0s] 这两个标的生意科技
[2073.0s-2074.7s] 未来想象力更大一点
[2074.7s-2076.1s] 但是估值更高一些
[2076.5s-2078.2s] 它的核心壁垒更高
[2078.2s-2079.8s] 因为它是全球前三
[2080.0s-2080.9s] 全国第一
[2082.2s-2084.4s] 它的主营业务是全球第三
[2084.4s-2085.1s] 全国第一
[2085.6s-2086.3s] 那么互电
[2086.4s-2087.9s] 它是估值比较低
[2088.3s-2089.5s] 它现在的估值明显
[2089.5s-2090.9s] 会比生意要低很多
[2090.9s-2093.7s] 但是互乘核没有生意那么高
[2094.9s-2097.6s] 盆顶就是偏情绪票
[2097.7s-2098.7s] 它有点像
[2102.5s-2103.8s] 价值投机
[2104.3s-2105.9s] 油资参与的会比较多
[2105.9s-2107.2s] 所以属于新军
[2111.9s-2113.2s] 所以属于新军
[2116.3s-2116.9s] 能理解吗
[2116.9s-2118.2s] 所以接下来的时间
[2118.2s-2120.1s] 大家好好围绕着软件
[2121.1s-2123.6s] 我感觉你们有点本末倒置了
[2123.8s-2125.6s] 你们是因为软件
[2125.6s-2127.0s] 才来到这个直播间了
[2127.4s-2130.0s] 付的费用也是因为软件
[2132.6s-2133.6s] 能懂吗
[2134.1s-2134.7s] 能懂吗
[2134.7s-2137.7s] 所以接下来我会把软件里面好的标的
[2137.7s-2139.5s] 都会做持续性的跟踪
[2140.3s-2141.9s] 持续性的跟踪
[2142.7s-2143.4s] OK
[2144.7s-2145.6s] 有好的标的
[2145.6s-2147.7s] 我会带着你们去持续性的跟踪
[2147.8s-2148.4s] 好吧
[2148.4s-2150.4s] 那么在周五的时候
[2150.6s-2153.2s] 周五的时候给你们分享的
[2153.7s-2156.1s] 周五的时候给你们分享的就是
[2157.1s-2160.3s] 周五的时候软件给你们加到自权股里面的
[2160.3s-2161.1s] 就是互电
[2161.1s-2162.6s] 我就把盆顶删掉了
[2162.6s-2163.0s] 好吧
[2163.0s-2165.6s] 因为盆顶不属于我们分享的
[2165.6s-2166.8s] 只是市场核心标的
[2166.8s-2167.9s] 我就点一下就好了
[2169.0s-2171.2s] 那么我把生意也放在这里
[2171.2s-2173.2s] 生意跟互电生意是我分享的
[2173.2s-2174.5s] 互电是软件推的
[2174.5s-2176.6s] 所以我们会做持续性的跟踪
[2177.3s-2179.5s] 所以我们会做持续性的跟踪
[2179.5s-2181.6s] 然后在这里
[2182.4s-2183.3s] 在这里
[2183.5s-2184.4s] 在这里
[2187.4s-2189.2s] 互电生意这个卖点
[2189.2s-2190.7s] 我都跟大家讲的比较明确了
[2190.7s-2191.9s] 三种情况我们才会觉得
[2191.9s-2192.4s] 第一
[2192.4s-2194.4s] PCB出现大面积的亏钱效应
[2194.8s-2195.4s] 第二
[2196.8s-2197.4s] 第二
[2198.7s-2199.6s] 爆亮阴线
[2199.6s-2200.3s] 第三
[2200.3s-2201.3s] 跌破5日线
[2203.7s-2204.4s] 能懂吗
[2206.2s-2206.9s] 能懂吗
[2207.5s-2209.2s] 只要出现这三个情况
[2209.2s-2211.0s] 只有出现这三个情况我们才会去离场
[2211.2s-2213.7s] 不然这个方向我们要配着仓位要拿着
[2214.6s-2215.6s] 而且我昨天跟你们讲过
[2215.6s-2216.1s] 这个
[2216.9s-2218.6s] 这个方向一定要配着仓位要拿着
[2219.4s-2220.0s] OK
[2220.7s-2222.1s] 其实软件比我牛逼
[2222.1s-2223.4s] 你们再来看今天
[2223.4s-2224.4s] 很多人在说
[2225.2s-2227.6s] 很多人在说这个叫做
[2230.7s-2231.9s] 今天的芯片概念
[2231.9s-2234.2s] 因为华为一则重磅消息
[2234.4s-2236.2s] 因为华为的一则重磅消息
[2237.0s-2238.4s] 叫做掏定率
[2238.7s-2239.4s] 掏定率
[2239.6s-2241.9s] 我们去看今天软件选出来的
[2244.3s-2245.9s] 那这是今天软件选出来的
[2247.4s-2248.3s] 比不过
[2249.2s-2250.9s] 软件9.38分
[2251.3s-2252.9s] 就把芯片给跳出来了
[2255.1s-2258.0s] 9.38分就把芯片给跳出来了
[2259.1s-2260.7s] 人脑搞不惯
[2261.7s-2265.3s] 他获取整个世界的消息的速度
[2265.7s-2267.7s] 远比我们要快得多
[2268.5s-2271.1s] 他获取完整个世界的消息
[2271.1s-2274.8s] 并且经过重要分数打分筛选
[2276.1s-2277.5s] 你们不是老问我们的软件
[2277.5s-2278.9s] 到底为什么他能这么快
[2278.9s-2279.5s] 其实我告诉你们
[2280.0s-2281.4s] 我可以告诉你们一个底层
[2281.4s-2282.7s] 他第一件事情干吗
[2284.1s-2286.2s] 我每天都在用我的苹果电脑
[2286.6s-2288.0s] 都在用我的苹果电脑
[2291.5s-2293.0s] 再用再用那个
[2294.3s-2294.9s] Codex
[2296.1s-2297.0s] 比不过
[2297.5s-2298.3s] 他第一步干吗
[2298.3s-2302.3s] 先每时每刻都在筛选全世界重要的消息
[2302.5s-2303.7s] 全世界重要的消息
[2304.3s-2305.8s] 重要的消息跳出来以后
[2306.9s-2308.8s] 经过一分钟不到的时间
[2308.8s-2310.3s] 给每条消息打分
[2312.5s-2315.4s] 经过一分钟时间
[2315.6s-2317.1s] 给每条消息
[2318.1s-2318.6s] 打分
[2322.5s-2323.0s] 打分
[2324.2s-2325.4s] 打完分以后
[2325.4s-2327.1s] 第三件事情
[2328.2s-2330.0s] 他就会去扫盘面
[2330.8s-2332.0s] 是否符合
[2332.9s-2334.3s] 强势板块的逻辑
[2334.3s-2335.8s] 可持续板块的逻辑
[2340.6s-2342.1s] 最后符合
[2342.3s-2343.7s] 所有的框架都符合
[2343.7s-2345.0s] 他才会弹出目标股
[2346.7s-2348.2s] 他才会弹出目标股
[2350.1s-2350.7s] 比不过
[2351.7s-2353.3s] 深深的
[2353.3s-2356.3s] 我深深的体会到你们不会使用工具
[2357.2s-2359.2s] 其实我在分享的有些东西
[2359.2s-2361.3s] 我只是选了个票
[2362.6s-2363.7s] 但是方向
[2364.0s-2365.1s] 全是他选的
[2369.9s-2371.2s] 其实方向全是他选的
[2371.2s-2374.0s] 周五看到PCB也是因为软件
[2374.4s-2375.3s] 软件跳出来以后
[2375.3s-2376.8s] 我才去观摩整个方向
[2377.1s-2378.3s] 然后去选到
[2379.2s-2380.3s] 然后去选到
[2382.8s-2383.8s] 选到软件的标的
[2383.8s-2386.0s] 然后我看到软件选的是互电
[2386.6s-2388.8s] 然后我再去把所有的PCB
[2389.1s-2390.5s] 元气界里面的核心
[2390.8s-2392.2s] 行业龙头去看了一下
[2392.5s-2393.1s] 我觉得
[2395.2s-2396.0s] 生意也很好
[2396.0s-2397.3s] 生意互电不分家
[2397.3s-2398.6s] 没有谁比谁好
[2398.6s-2400.5s] 两个波段票都很好
[2401.8s-2404.7s] 只是为我们的软件添加一个补充而已
[2405.3s-2406.0s] 能懂吗
[2407.0s-2410.3s] 只是为了我们的软件添加一个补充而已
[2420.2s-2421.9s] 互电不就是波段票吗
[2424.3s-2425.1s] 你们放心
[2425.7s-2427.7s] 在6月份以后
[2427.9s-2430.0s] 整个软件会上一个波段模式
[2430.4s-2431.9s] 有了波段模式以后
[2432.4s-2433.6s] 我就不用分享个股
[2434.4s-2436.7s] 我相信软件选出来的个股也不会比我差
[2451.3s-2451.8s] OK
[2451.8s-2452.2s] 好
[2452.2s-2453.2s] 回到今天的
[2454.9s-2455.8s] 回到今天的
[2460.3s-2461.3s] 回到今天的
[2465.8s-2466.6s] 肯定要升级
[2466.8s-2467.2s] 第二眼
[2467.2s-2468.4s] 6月份就要迭代了
[2468.4s-2469.7s] 会出一个波段模式
[2478.4s-2479.8s] 你们去看今天弹出来的
[2479.8s-2482.4s] 今天他晒晒出来的9点38分就出来了
[2483.0s-2484.6s] 太高效了
[2484.6s-2485.4s] 太高速了
[2485.9s-2486.7s] 我相信
[2487.8s-2489.1s] 我问一下直播间的大家
[2489.1s-2490.0s] 当你知道
[2490.4s-2493.0s] 这一次炒作的是超定律的时候
[2494.3s-2495.4s] 超定律的时候
[2496.0s-2497.5s] 你们是几点钟知道的
[2499.1s-2500.0s] 公平上面打出来
[2500.6s-2503.2s] 我反正是在10点钟才知道的
[2503.4s-2505.0s] 我不知道你们是什么时候知道的
[2506.7s-2508.2s] 我是10点钟左右才知道的
[2508.9s-2511.7s] 原来炒的是华为这一次的超定律
[2512.5s-2513.4s] 你们是什么时候知道的
[2513.5s-2515.2s] 软件是9点38分知道的
[2516.2s-2517.3s] 已经是下午了
[2517.3s-2518.2s] 收牌
[2520.3s-2522.4s] 中午的人比较多一点
[2523.9s-2525.6s] 中午的人比较多
[2528.0s-2529.1s] 10点跟我一样
[2529.1s-2530.1s] 那我也说10点
[2533.5s-2535.6s] 10点只是新闻的推送
[2536.0s-2537.4s] 跟这个消息面的曝光
[2537.7s-2538.7s] 时间是不一样的
[2540.7s-2542.7s] 9点21分的央视新闻
[2543.5s-2544.3s] 9点21分
[2544.3s-2545.1s] 中午
[2545.1s-2546.4s] 反正大部分人都是中午
[2550.1s-2551.3s] 大部分人都是中午
[2561.8s-2563.9s] 我是在医院看到遥遥领先
[2565.8s-2566.6s] 好 OK
[2566.6s-2569.7s] 那么这个消息有多重要
[2571.3s-2572.2s] 我跟你们讲过
[2572.2s-2573.5s] 消息面最重要的是
[2573.5s-2574.5s] 望你去判断
[2574.7s-2575.6s] 这个板块的爆发
[2575.6s-2577.2s] 是否具备可持述性
[2579.0s-2581.3s] 它是一个井上天花的东西
[2582.8s-2585.8s] 它是一个井上天花的东西
[2587.2s-2588.2s] 能理解吗
[2591.5s-2593.0s] 软件上如果有买卖点就好
[2593.0s-2594.6s] 软件上不就是有买点的吗
[2595.8s-2596.5s] 我就告诉你们
[2596.5s-2597.6s] 软件上有买卖点
[2598.6s-2599.1s] 可以
[2601.2s-2602.5s] 但是年费30万
[2606.6s-2608.2s] 我很实在的告诉大家
[2609.2s-2612.0s] 甚至可以接自动化年费300万
[2614.3s-2617.4s] 为什么不去设置到这么精准度
[2617.4s-2619.0s] 因为普通人民根本用不起
[2622.7s-2624.5s] 你应该要感谢现在
[2627.8s-2630.6s] 没有把一些特别损耗
[2630.6s-2632.3s] 算力的功能加上去
[2632.3s-2635.1s] 不然你们根本就没有机会用到这款软件
[2639.7s-2640.4s] 你们懂吗
[2640.7s-2642.7s] 人不要过于贪心
[2643.3s-2644.9s] 你们去看看外面的直播间
[2644.9s-2646.3s] 外面的有用吗
[2653.2s-2655.1s] 有用你们要好好享受现在
[2655.6s-2657.8s] 我真的很实在的告诉大家一句话
[2657.8s-2660.2s] 有可能到下半年普通人都用不起了
[2663.5s-2666.1s] 对 但是卖点我还是每天都在跟你们讲
[2668.3s-2670.4s] 人性的贪婪有的时候真的是
[2673.7s-2674.7s] 就我真的跟你们说
[2674.7s-2677.1s] 人性的贪婪有的时候是贪得无厌
[2677.4s-2678.9s] 我可以很实在的告诉大家
[2680.7s-2681.6s] 再过半年到一年
[2681.7s-2683.7s] 等到我们的软件功能更强大了以后
[2683.7s-2685.1s] 很多人就不用买不起了
[2685.3s-2686.4s] 不适合普通人
[2686.4s-2687.3s] 普通人用不了
[2687.8s-2689.3s] 这个社会就是那么的残忍
[2691.2s-2693.2s] 现在你们知道为什么草根起不来了吗
[2693.6s-2695.7s] 因为这个社会的很多门槛太高了
[2698.1s-2700.4s] 本质上面很多最顶级的东西
[2700.7s-2703.5s] 都是为权贵和资本所服务的
[2712.4s-2714.2s] 我们现在软件是不挣钱的
[2715.5s-2717.5s] 你们知道现在算力有多贵吗
[2718.2s-2719.5s] 很多人不知道算力有多贵
[2719.6s-2721.7s] 你们知道企业接算力有多贵吗
[2722.8s-2724.9s] 每天要消耗多少的Token吗
[2729.0s-2731.3s] 你知道一个技术团队一年要多少钱吗
[2735.0s-2736.0s] 2000到3000万
[2741.8s-2744.6s] 你们现在能进来的人真的应该很开心了
[2744.8s-2745.8s] 我可以很明确告诉大家
[2745.8s-2748.0s] 等到软件功能再升级到很
[2748.7s-2750.8s] 一板一板的升级到一定强大传统有
[2750.8s-2752.1s] 普通人都不用用不起
[2752.6s-2754.1s] 以后起步都是10万一年
[2755.8s-2756.9s] 起步都是10万一年
[2757.4s-2758.4s] 不服务普通人
[2760.7s-2762.1s] 这只是技术的成本
[2762.1s-2763.4s] 我没算Token的成本
[2764.2s-2766.1s] 技术团队就要2000万到3000万
[2766.4s-2767.2s] 这是技术
[2773.0s-2774.2s] 现在还亏本
[2774.2s-2775.1s] 那是你
[2776.0s-2777.4s] 你还好意思说话吗
[2787.0s-2788.4s] 就很多你们是不知道的
[2788.4s-2789.5s] 因为你们没有参与
[2789.9s-2791.2s] 就是我一直跟你们讲
[2791.2s-2793.7s] 讲过就是要感谢自媒体时代
[2794.3s-2794.8s] 真的
[2795.8s-2799.2s] 要感谢短视频红利期
[2800.5s-2801.4s] 你们也要感谢
[2801.4s-2803.5s] 其实我们给你们交付板的软件
[2803.5s-2805.9s] 我是一二再再三的把能够
[2806.9s-2808.7s] 我觉得最有用的
[2808.7s-2809.8s] 尽可能有用的功能
[2809.8s-2810.8s] 全部帮你们上上去
[2817.7s-2819.8s] 软件开发软件还亏本
[2820.5s-2822.5s] 我们本肯定就回来了
[2823.1s-2823.7s] 不赚钱
[2823.9s-2824.8s] 现在真的不赚钱
[2828.6s-2831.0s] 所以这个东西你们是没有感受的
[2831.6s-2832.3s] 你们不知道
[2832.3s-2834.6s] 你们到现在都还没有体会到吗
[2834.6s-2837.2s] 在直播间的人难道都还没有体会到
[2838.9s-2842.0s] 还没有体会到我们这款软件的强大
[2842.0s-2843.9s] 以及我们直播间的含金量吗
[2846.2s-2847.7s] 我是热的软件是无声的
[2847.7s-2848.3s] 这么一办法
[2848.3s-2849.3s] 软件他不会说话
[2850.3s-2851.9s] 等到某一天软件能讲话的时候
[2851.9s-2852.7s] 那就不得了了
[2858.6s-2859.1s] 对吧
[2859.8s-2860.5s] 也要有黄芹
[2860.5s-2861.0s] 我跟你们说
[2861.0s-2862.3s] 软件2月份的时候
[2862.3s-2863.2s] 黄芹贼差
[2863.5s-2865.6s] 软件胜率高的跟
[2867.1s-2868.6s] 你们去看一下2月份
[2868.6s-2870.8s] 就当时我跟所有的老粉
[2870.8s-2872.7s] 因为当时只有我们内侧的老粉
[2873.3s-2875.0s] 我跟我们直播间的老粉
[2875.0s-2875.7s] 我也惊呆了
[2881.4s-2882.4s] 我也惊呆了
[2882.4s-2884.6s] 你们懂这个吗
[2884.6s-2885.3s] 2月份的时候
[2885.3s-2886.6s] 行情是不是挺差的
[2889.2s-2889.8s] 2月份的时候
[2889.8s-2891.0s] 行情真的挺差的
[2891.4s-2893.0s] 但是胜率高的跟
[2894.2s-2895.0s] 高的可怕
[2896.4s-2897.6s] 你自己talking
[2897.6s-2898.8s] 我自己一个账号
[2898.8s-2900.0s] 就我个人的一个账号
[2900.0s-2902.2s] 我一个月就要3000多块钱
[2903.4s-2904.0s] 3000多块钱
[2904.0s-2905.6s] 2900美刀
[2905.9s-2907.0s] 不是900美刀
[2907.0s-2908.0s] 300美刀
[2908.6s-2909.5s] 300到400美刀
[2918.1s-2918.6s] 对吧
[2919.5s-2920.7s] 这个话题我就不跟你们了
[2921.3s-2922.6s] 就是从来没跟你们讲过
[2922.6s-2923.2s] 其实
[2923.7s-2925.4s] 好好在直播间
[2925.4s-2926.6s] 好好享受这波红利
