[1.9s-177.8s] OK 来吧 又是开开星星的一天没有办法
[177.8s-179.6s] 市场就是这么的牛逼
[1529.2s-1529.8s] 希望
[1530.8s-1533.6s] 软件能为你弥补卖飞的仓位
[1534.8s-1535.2s] 为什么
[1536.0s-1538.8s] 今天我们来看一下软件
[1540.8s-1541.9s] 昨天我跟你们说过
[1541.9s-1543.8s] 这个标的不一定会亏钱
[1544.5s-1545.2s] 看到没
[1546.9s-1548.1s] 昨天这个标的
[1548.8s-1549.5s] 我跟你们讲过
[1549.5s-1551.3s] 就我说这个标的不一定会亏钱
[1551.3s-1552.0s] 今天你看
[1552.8s-1553.8s] 实话实说
[1553.8s-1555.8s] 你按标准化的话的卖点去卖
[1555.8s-1556.8s] 今天不太会亏钱
[1557.0s-1557.6s] 三锅
[1557.6s-1559.8s] 一二三三锅没涨停走人
[1562.4s-1563.2s] 然后
[1564.3s-1565.4s] 今天的标地
[1565.4s-1567.5s] 协心能科早上是第一个推出来的
[1567.5s-1568.9s] 这个标地是真的完美
[1568.9s-1569.6s] 推出来的时候
[1569.6s-1570.4s] 我看了一下
[1571.3s-1572.2s] 只有振舞
[1573.5s-1575.0s] 大概有两分钟时间
[1575.0s-1576.1s] 可以让你随便买
[1576.1s-1576.9s] 买完之后
[1576.9s-1578.5s] 马上拉伸涨停
[1581.3s-1583.0s] 日内净赚4.7个点
[1583.0s-1585.1s] 这个标地明天还有高一价
[1591.2s-1592.4s] 今天哪里大面积地开了
[1592.4s-1593.2s] 昨天美股
[1593.2s-1594.5s] 昨天美股跌了那么多
[1594.5s-1596.4s] 今天很多个股已经超越期了
[1596.4s-1598.2s] 好多标地本该跌的都没跌
[1598.2s-1599.4s] 尤其是CPO
[1599.4s-1600.0s] 里面的标地
[1600.0s-1601.0s] 你们没发现吗
[1602.3s-1604.2s] 今天指数低开是正常的
[1604.2s-1606.2s] 因为昨天美股跌了A50跌了
[1606.5s-1607.0s] 低开正了
[1607.0s-1608.1s] 但是低开你会发现
[1608.1s-1609.8s] 很多CPO的标地根本就没跌
[1616.2s-1617.0s] 对不对
[1617.0s-1618.5s] 很多人说我卖非仓废怎么
[1618.5s-1620.1s] 怎么卖你一个错误的动作
[1620.1s-1620.8s] 你问我怎么办
[1620.8s-1621.8s] 我只能说
[1622.2s-1623.7s] 还好你们还有一个原因
[1624.5s-1625.4s] 你总不能跟我说
[1625.4s-1626.6s] 瞎鸡巴去乱吹
[1630.7s-1631.4s] 是不是
[1631.8s-1633.2s] 软件这段时间的圣律
[1633.2s-1633.6s] 牛不牛逼
[1633.6s-1634.4s] 你们自己说
[1635.6s-1636.8s] 所以很多人不会思考
[1636.8s-1637.8s] 那我卖非怎么办
[1637.8s-1638.8s] 卖非你们忘了
[1639.5s-1640.3s] 你有两个原因
[1640.5s-1641.5s] 第一原因
[1641.8s-1642.7s] 第二原因
[1645.2s-1646.3s] 两个原因在手
[1647.5s-1649.8s] 鞋鑫能哥明天必然高一价
[1651.3s-1654.1s] 来接下来给你们拆一下现在的盘面
[1654.5s-1655.5s] 我一直跟你们强调过
[1655.5s-1657.0s] 因为之前我不跟你
[1657.3s-1658.3s] 有人问电力
[1658.3s-1660.6s] 我就跟你们说电力就是超短玩家在玩
[1661.1s-1663.7s] 现在你们会发现两方阵营都有点屌
[1665.6s-1666.9s] 我们最牛的阵营不用说
[1666.9s-1668.3s] 75阵营是一直屌
[1668.9s-1669.7s] 转的
[1669.9s-1672.4s] 现在超短阵营也有点屌起来了
[1673.0s-1674.3s] 超短阵营就是电力
[1674.3s-1675.7s] 电力的人都是超短在玩
[1676.2s-1678.2s] 但是跟我们直播间很多人没关
[1678.5s-1680.4s] 因为超短不是人干的事情
[1681.1s-1682.1s] 所以一般我很少点
[1682.1s-1684.0s] 那么今天有人买到鞋鑫能哥了
[1684.0s-1684.6s] 那非常好
[1685.5s-1686.3s] 鞋鑫的卖点
[1686.3s-1687.3s] 你可以根据
[1687.7s-1689.5s] 根据龙头什么时候挂掉来卖
[1693.3s-1693.9s] 能懂吗
[1693.9s-1696.3s] 现在短线的龙头是很明确的
[1696.3s-1703.3s] 就是标记叫做大唐发店
[1706.1s-1706.8s] 能懂吗
[1709.4s-1710.3s] 叫做大唐发店
[1711.2s-1713.0s] 所以短线的龙头现在是非常明确的
[1713.0s-1715.0s] 短线的龙头是大唐发店
[1715.5s-1717.9s] 短线的阵眼是这个标记
[1719.8s-1721.4s] 短线的阵眼是这个标记
[1724.2s-1726.2s] 短线的阵眼是这个标记
[1728.8s-1730.0s] 叫做少能股份
[1732.5s-1733.5s] 这个是短线的阵眼
[1733.5s-1734.7s] 这个标记明天照理来说
[1734.7s-1735.8s] 应该是开一字版的
[1751.0s-1751.6s] 能懂吗
[1752.9s-1755.4s] 就是短线的定位现在是非常清楚的
[1755.4s-1756.1s] 很多人在说
[1756.1s-1757.7s] 那我们现在这一轮行情里面
[1757.7s-1758.7s] 趋势的龙头是谁
[1758.7s-1759.4s] 趋势没有龙头
[1759.4s-1760.2s] 大家轮子长
[1762.2s-1763.8s] 这一轮趋势行情里面
[1764.1s-1766.0s] 没有机构容量票
[1766.0s-1767.1s] 一直都是这样子的
[1768.1s-1769.8s] 就是机构行情里面
[1769.8s-1771.7s] 不是一定要有龙头的
[1772.0s-1774.4s] 它就是轮番掌
[1775.0s-1776.7s] 辽能属于二锅腰骨
[1777.6s-1778.7s] 市场地位也高
[1779.0s-1780.3s] 这是我们软件的票
[1780.7s-1781.7s] 已经长了很久了
[1781.7s-1784.6s] 我看到有软件的小
[1784.6s-1786.3s] 其实一直在提醒
[1786.8s-1788.2s] 一直在提醒华电辽能
[1788.8s-1790.6s] 就它属于二锅的核心票
[1791.0s-1792.2s] 基本上辽能
[1792.2s-1793.6s] 辽能如果挂
[1793.6s-1796.5s] 可能就有可能是比大唐
[1796.7s-1798.2s] 提前早挂一天
[1798.3s-1800.4s] 或者有概率跟大唐一起挂
[1800.7s-1802.4s] 但是按以往的经验来说
[1803.2s-1804.7s] 基本上都是可能会辽能
[1804.7s-1806.1s] 会提前挂先挂
[1806.1s-1807.4s] 当辽能出现大板
[1807.4s-1808.4s] 大的副反馈的时候
[1808.4s-1810.8s] 大唐电力的大唐电力就要当心了
[1812.0s-1813.2s] 你们能懂这个逻辑吗
[1814.2s-1816.4s] 就来首先我先抢调一下
[1816.4s-1818.0s] 现在直播间人是最多的时候
[1818.2s-1820.5s] 我现在在讲一些超短的东西
[1821.5s-1823.9s] 然后我要提醒所有直播间的人
[1823.9s-1827.1s] 如果你不没有三到五年的超短经验
[1827.5s-1829.1s] 你只要听就好了
[1829.1s-1830.0s] 学习
[1830.1s-1832.8s] 提升自己的一些超短的一些认知
[1832.8s-1836.8s] 但是我不介意你们去玩超短
[1837.5s-1838.2s] 我跟你们讲过
[1838.2s-1839.9s] 超短不是人能干的事情
[1840.0s-1842.4s] 超短真的有可能一个礼拜让你腰斩
[1845.0s-1845.6s] 能懂吗
[1845.6s-1846.4s] 玩不来的人
[1846.4s-1848.0s] 一个礼拜腰斩非常正常
[1849.9s-1850.6s] 非常正常
[1850.7s-1852.9s] 所以这是我要特意强调一下的
[1852.9s-1854.9s] 但是因为为什么要讲这个内容
[1854.9s-1857.0s] 是因为我们直播间有很多
[1857.0s-1859.6s] 大概有120的人还在做超短
[1859.9s-1862.8s] 或者说他超短跟趋势波段都会做
[1865.2s-1866.8s] 趋势波段都会做
[1869.8s-1870.8s] 能理解吗
[1870.8s-1872.5s] 所以我直播间也得讲
[1873.1s-1873.9s] 没办法
[1874.0s-1875.4s] 但是对于大部分人来说
[1875.4s-1877.3s] 其实你就听就好了学习
[1877.3s-1880.1s] 因为超短的有些精髓跟你做波段
[1880.1s-1881.9s] 其实是一曲同工之妙
[1882.9s-1886.4s] 而且我们大部分人都是满舱重舱了
[1886.4s-1887.8s] 其实你也没超过去玩
[1887.8s-1888.6s] 也挺好的
[1891.1s-1892.1s] 能懂吗
[1892.1s-1894.9s] 就是很多人也就很多人也已经
[1894.9s-1897.7s] 反正也已经都满舱了
[1897.7s-1898.4s] 其实你也干不了
[1898.4s-1899.7s] 但是我超短要讲一下
[1899.9s-1902.6s] 就现在的行情变得有意思了
[1903.1s-1905.6s] 这一轮主声让实在是三阶段
[1905.6s-1907.3s] 实在是有一些超与期
[1907.3s-1909.1s] 那么基于在这样子的超与期下面
[1909.1s-1910.9s] 我们会发现短线行情
[1910.9s-1912.3s] 慢慢也在好起来
[1912.6s-1913.9s] 尤其是今天
[1914.2s-1916.3s] 龙头
[1916.9s-1918.8s] 打破了5版的压制
[1918.8s-1920.3s] 今天是获得了6版
[1921.3s-1923.0s] 今天是获得了6版
[1923.0s-1925.1s] 所以这个节点对于超短来说
[1925.1s-1927.9s] 确实具有象征性的意义
[1928.6s-1930.3s] 确实具有象征性的意义
[1930.3s-1932.1s] 那么在超短这个板块
[1932.1s-1933.4s] 我们要把它拎开来看
[1933.4s-1935.1s] 趋势波段是趋势是趋势
[1935.1s-1935.9s] 超短手套软
[1935.9s-1937.7s] 趋势我跟你们讲过龙头
[1937.7s-1938.6s] 它没有绝对龙头
[1938.6s-1939.3s] 它一直换
[1940.3s-1942.6s] 一下子得名力长得很好
[1942.6s-1943.3s] 对吧
[1943.3s-1945.3s] 一下子终继续创讲得很好
[1945.3s-1947.1s] 他在昨天终继续创长得好
[1947.1s-1949.1s] 今天又变成那个新一圣长得好
[1949.1s-1950.4s] 他没有绝对的龙头
[1950.4s-1952.1s] 还有工业互联今天又涨停了
[1952.1s-1953.3s] 就他没有绝对的龙头
[1953.3s-1954.7s] 他就是你你长
[1954.7s-1955.6s] 你破新高了
[1955.6s-1956.0s] 那不行
[1956.3s-1957.3s] 我也得去破新高
[1957.3s-1958.1s] 我去
[1958.3s-1959.2s] 我破新高了
[1959.2s-1960.0s] 另外一个说
[1960.0s-1961.6s] 你们都破新高了
[1961.6s-1962.6s] 那我也得破新高
[1963.6s-1964.7s] 就这么一个过程
[1964.7s-1965.3s] 你们懂吗
[1965.3s-1966.7s] 超不趋势
[1966.7s-1967.7s] 它是这样子的核心的
[1967.7s-1968.9s] 几个标的业绩好的
[1969.1s-1970.0s] 市场认可的标的
[1970.0s-1970.8s] 它就是这样子的
[1970.8s-1972.3s] 看你破新高了
[1972.6s-1973.5s] 那我就来了
[1974.4s-1975.5s] 你们看一中天
[1975.5s-1977.0s] 今天天赋通信就长得最好
[1977.0s-1977.7s] 为什么
[1977.7s-1979.7s] 因为他还没有破前面的高点
[1980.5s-1981.6s] 所以今天涨幅最好的
[1981.6s-1982.5s] 是什么天赋通信
[1982.5s-1983.9s] 第二是什么新一圣
[1984.7s-1985.5s] 工业互联
[1985.5s-1986.0s] 为什么
[1986.0s-1987.4s] 因为他们也没有破前高
[1987.6s-1989.2s] 终继续上今天为什么最弱
[1989.2s-1991.3s] 因为他已经提前先破新高了
[1991.7s-1992.9s] 然后终继续上说
[1992.9s-1994.1s] 兄弟们我已经破新高了
[1994.1s-1994.8s] 我的任务完成了
[1994.8s-1995.6s] 我休息一下
[1996.7s-1997.6s] 然后下面几个说
[1997.6s-1998.1s] 那不行
[1998.3s-1999.2s] 我们得追一下
[1999.2s-2000.1s] 我们都是CPU
[2000.6s-2001.4s] 那我们追一下
[2002.5s-2003.3s] 你现在有一个阶段
[2003.3s-2004.0s] 你们还记得吗
[2004.0s-2007.6s] 是新一圣先破历史高点
[2008.0s-2009.2s] 新一圣把它冲上去
[2009.5s-2010.6s] 后面终继续上一看
[2010.6s-2012.0s] 当时我还让你们平移
[2012.3s-2014.2s] 把新一圣平移到终继续上那一天
[2014.2s-2014.9s] 你们还记得吗
[2015.3s-2016.9s] 后来终继续上就开始新高了
[2017.4s-2018.5s] 这是趋势这边
[2018.5s-2019.3s] 它是这么玩的
[2020.4s-2021.8s] 趋势这边它是这么玩的
[2022.3s-2023.5s] 它跟超短不一样
[2023.5s-2025.8s] 但是超短就不是这么回事
[2025.8s-2027.3s] 超短是有绝对的龙头的
[2027.6s-2030.4s] 超短现在这一波行情的核心龙头
[2031.1s-2032.1s] 就是大堂电力
[2032.1s-2033.1s] 它是总龙头
[2034.2s-2036.2s] 它会它的强弱
[2036.2s-2038.3s] 会直接影响到整个市场情绪
[2038.5s-2039.5s] 然后很多人说
[2039.5s-2041.2s] 为什么说少能是阵眼
[2041.2s-2043.2s] 少能是今天短线的阵眼
[2043.2s-2044.5s] 不要有误解
[2044.5s-2046.6s] 它跟趋势没有屁关系
[2048.2s-2050.3s] 就它跟趋势没有半毛钱关系
[2050.3s-2052.1s] 少能是今天的
[2052.8s-2054.7s] 短线情绪的阵眼
[2055.6s-2057.1s] 如果我的判断错了
[2057.8s-2059.1s] 如果我的判断错了
[2059.1s-2059.7s] 怎么样
[2059.7s-2061.5s] 会验证我的判断是错的
[2061.6s-2064.9s] 我认为阵眼明天就应该一字板
[2068.3s-2071.0s] 我认为阵眼明天就应该一字板
[2073.7s-2074.5s] 能懂吗
[2074.5s-2076.1s] 它的作用是什么
[2076.1s-2077.3s] 就是在这个阶段
[2077.3s-2078.2s] 出一个低位的
[2078.2s-2080.1s] 电力板块的阵眼的作用是什么
[2080.1s-2081.2s] 反推龙头
[2082.9s-2084.5s] 只要这个标的还能够
[2084.5s-2086.3s] 强势一字板往上进攻
[2086.3s-2089.2s] 龙头的安全边际就会高很多
[2090.1s-2091.2s] 听懂这句话
[2093.1s-2094.1s] 这个做超短的
[2094.1s-2095.7s] 我的老粉应该都很明白
[2096.1s-2097.8s] 所以它是一个阵眼
[2097.8s-2099.8s] 也是一个情绪观察标
[2100.1s-2102.1s] 当这个标的开始走弱的时候
[2102.1s-2103.4s] 那大家也要当心
[2103.4s-2105.2s] 还有一个就是你们提到的
[2106.4s-2107.5s] 华电辽能
[2108.3s-2110.9s] 华电辽能这个标的属于二波
[2111.2s-2112.1s] 老龙头
[2112.8s-2115.1s] 你可以理解为现在的皇帝是谁
[2115.1s-2116.6s] 现在唐太宗
[2116.8s-2118.3s] 是我们的大唐发电
[2121.4s-2122.2s] 李渊是谁
[2122.2s-2123.8s] 李渊就是华电辽能
[2124.8s-2127.3s] 但是按我们以往所有的经验来说
[2127.3s-2129.2s] 华电辽能大概率会比
[2129.4s-2131.5s] 大唐发电要提前一天挂
[2131.9s-2134.1s] 或者说当天他先出现大面的时候
[2134.1s-2135.2s] 你就一定要当心
[2136.4s-2138.4s] 由华电辽能突然出现大面的时候
[2138.4s-2140.2s] 大唐电力就要当心
[2141.1s-2142.5s] 以前很多时候是这样子
[2142.5s-2144.4s] 大唐电力爆亮的那一天
[2144.4s-2145.8s] 华电辽能开始
[2146.6s-2147.4s] 复返会
[2148.1s-2150.4s] 然后第二天如果龙头不能弱展强
[2151.0s-2152.4s] 龙头不能弱展强
[2152.4s-2154.6s] 那么基本上华电辽能就没有机会了
[2155.0s-2155.8s] 没有机会了
[2155.8s-2158.1s] 但如果龙头能够引领继续弱展强
[2158.1s-2159.6s] 那华电辽能就有机会
[2159.6s-2161.0s] 做大长腿的那种感觉
[2161.0s-2162.8s] 他有可能会做个大长腿出来
[2164.0s-2165.3s] 这是我跟你们讲的
[2165.8s-2168.1s] 就是观察你们可以接下来的几天时间
[2168.1s-2168.7s] 去观察
[2168.8s-2169.8s] 去慢慢提升
[2170.5s-2171.7s] 去慢慢提升
[2171.9s-2172.4s] 好
[2174.2s-2175.2s] 这是我讲到的
[2175.2s-2176.6s] 然后另外一个你们说
[2176.6s-2177.8s] 协新能科这个标题
[2177.8s-2179.7s] 为什么我说你们可以根据大唐
[2179.9s-2180.8s] 发电去看
[2181.1s-2182.3s] 大唐发电走弱的时候
[2182.3s-2183.9s] 这个标题就结束了
[2184.1s-2185.4s] 协新能科是属于什么
[2185.4s-2188.4s] 属于这轮超短里面的容量中军
[2190.5s-2191.8s] 容量中军
[2192.9s-2194.2s] 它是有容量的
[2196.7s-2197.3s] 能懂吗
[2197.3s-2200.5s] 所以他们所属的地位不一样
[2200.8s-2202.4s] 像协新能科更像什么
[2202.7s-2203.8s] 更像
[2205.2s-2206.0s] 成像
[2206.6s-2209.0s] 它的地位肯定没有那几个标题高
[2209.6s-2211.1s] 但是它能做个成像
[2211.1s-2212.2s] 少能像什么
[2212.4s-2213.0s] 太子
[2213.8s-2214.9s] 你太子越优秀
[2214.9s-2216.6s] 这个国家是不是越稳定
[2216.8s-2218.3s] 你太子那麽傻不拉肌的
[2218.3s-2220.0s] 那这个国家不是马上就要崩了
[2220.6s-2221.0s] 能懂吗
[2221.0s-2222.5s] 所以给你们定位定一下
[2222.6s-2223.7s] 我们的大唐发电
[2223.7s-2224.7s] 就是现在
[2225.6s-2228.7s] 年轻气盛的新皇帝李世民
[2229.3s-2232.4s] 然后少能就是现在的太子
[2232.8s-2234.1s] 太子也非常优秀
[2234.1s-2235.9s] 明天如果他能够大担一字板
[2236.1s-2238.8s] 那一定是能反推这个皇朝走向鼎盛
[2241.1s-2241.7s] 能懂吗
[2241.9s-2244.2s] 然后协新能科就属于成像
[2244.4s-2245.6s] 津津业业
[2246.2s-2247.7s] 地位比你们都低一点
[2247.7s-2249.3s] 但是我也是津津业业
[2249.6s-2251.5s] 然后华电辽人就是个太上皇
[2252.1s-2253.3s] 把市场定位
[2253.3s-2255.0s] 把核心标的定位定清楚
[2255.0s-2256.9s] 这四个标的放在一起看
[2257.2s-2258.3s] 尤其是
[2258.4s-2260.3s] 除了成像以外的三个标的
[2260.6s-2262.1s] 大概率这三个标的
[2262.1s-2264.5s] 死亡时间相差最多一天
[2265.4s-2266.6s] 相差最多一天
[2266.6s-2268.2s] 一般来说先死的
[2268.5s-2270.5s] 一般来说先死的应该是
[2271.2s-2272.5s] 先会出现复返会的
[2272.5s-2275.3s] 一般来说是华电会更快一些
[2276.2s-2277.3s] 更快一些
[2277.4s-2279.2s] 那基本上给你们分析清楚
[2281.3s-2282.0s] 好吗
[2284.4s-2284.9s] 好吗
[2285.1s-2287.7s] 我们要懂超短的逻辑
[2287.7s-2290.4s] 但是我不介意直播间的人去做超短
[2290.8s-2291.7s] 我还是那句话
[2291.7s-2294.3s] 没有三到五年以上的经验
[2294.8s-2296.1s] 你做不了超短
[2296.3s-2296.9s] 因为
[2297.4s-2300.0s] 超短分分钟能让你腰斩
[2300.4s-2302.5s] 适合大部分人的模式
[2302.5s-2304.7s] 基本上就是我说的趋势波段
[2304.8s-2306.4s] 舒服躺平
[2306.8s-2307.9s] 猪都能赚钱
[2309.3s-2310.2s] 就完事了
[2310.9s-2311.2s] 好吗
[2311.2s-2313.0s] 就苦口婆心这一段录下来
[2313.0s-2314.3s] 客服也把这一段录下来
[2314.6s-2316.0s] 万一明后天
[2316.0s-2318.5s] 大后天有人就偷摸摸去做超短亏钱了
[2318.5s-2320.0s] 你就把这一段话发给他
[2321.1s-2322.0s] 首先问一下他
[2322.0s-2323.4s] 你到底做超短多少年了
[2323.9s-2325.2s] 然后等一下他说我刚玩
[2325.2s-2326.7s] 你就把我这个视频解给他
[2326.7s-2327.6s] 也不要回他了
[2327.9s-2328.8s] 他听什么呢
[2328.8s-2329.5s] 他在怎么讲
[2330.1s-2331.9s] 不要高估自己的能力
[2332.2s-2332.8s] 好吗
[2334.8s-2335.3s] 好
[2335.3s-2336.8s] 这是给你们盘位
[2336.8s-2338.6s] 盘面给你们分享清楚
[2338.6s-2339.4s] 这样子你们
[2339.4s-2340.8s] 你们所有就能看得明白了
[2340.8s-2341.7s] 很多人有点闷
[2341.7s-2342.9s] 老是在问电力是什么
[2342.9s-2343.9s] 电力我一直跟你们讲过
[2343.9s-2344.6s] 是超短
[2345.2s-2345.9s] 是超短
[2346.4s-2347.2s] 是超短
[2348.7s-2349.2s] 好吗
[2349.2s-2350.5s] 电力是超短
[2351.0s-2351.6s] OK
[2356.6s-2357.1s] 好
[2358.9s-2359.2s] 好
[2359.2s-2359.7s] 那么
[2360.7s-2361.3s] 整个盘面
[2361.7s-2362.8s] 现在大家就很明确了
[2362.8s-2364.1s] 就现在就是各玩各的
[2364.3s-2365.8s] 波段玩家机构玩家
[2365.8s-2367.0s] 我们就继续玩我们的
[2367.0s-2368.2s] 我们直播间大部分人
[2368.3s-2370.4s] 都是跟着我们在玩波段
[2370.7s-2371.2s] 对不对
[2371.2s-2372.7s] 那我们就继续玩我们的
[2372.7s-2374.5s] 然后现在超短玩家也做出了
[2374.5s-2375.4s] 一点钻铁效应来
[2375.4s-2376.3s] 也不错
[2376.3s-2378.3s] 突破了这一个阶段连续
[2378.3s-2380.9s] 将近有15天左右的压制的
[2381.1s-2382.2s] 五连版的压制
[2382.3s-2386.4s] 而且今天是带着板块一起上去的
[2386.5s-2387.7s] 那么非常有辨识度
[2387.7s-2389.2s] 那么超短玩家终于也杀出了
[2389.2s-2390.2s] 自己一遍天地来
[2390.2s-2392.0s] 那么这只是针对减少数玩家
[2392.0s-2393.5s] 超短玩家的主线是什么
[2393.5s-2394.4s] 主流体裁是什么
[2394.4s-2395.1s] 是电力
[2395.4s-2396.2s] 是电算
[2397.1s-2397.8s] 能懂吗
[2398.2s-2400.8s] 超短有自己的独立的主流体裁
[2401.3s-2402.3s] 是电算
[2402.5s-2403.5s] 而我们的
[2403.5s-2404.4s] 而我们的
[2404.4s-2406.2s] 而我们做波段的里面的
[2406.2s-2407.1s] 主线是非常明确的
[2407.1s-2407.8s] 半导铁设备
[2407.8s-2409.7s] GPU加上纯属芯片
[2410.4s-2411.0s] 对不对
[2411.0s-2413.2s] 所以它各玩各的不影响
[2413.8s-2415.4s] 你看盘的时候要看得明白
[2416.2s-2417.9s] 看盘的时候一定要看得明白
[2418.1s-2418.8s] OK
[2420.3s-2421.0s] OK
[2421.3s-2421.7s] 好
[2421.7s-2423.2s] 电力不会被影响
[2423.2s-2424.5s] 今天科技回流
[2424.5s-2426.4s] 电力反而是加强的
[2428.8s-2429.7s] 能懂吗
[2429.9s-2431.4s] 今天你们会发现一个现象
[2431.4s-2432.5s] 就是科技股回流的时候
[2432.5s-2434.3s] 其实电力板块是加强的
[2435.3s-2437.4s] 他没有说有拆妻子的过程
[2437.4s-2438.8s] 是因为现在成交量
[2439.2s-2439.8s] OK
[2439.8s-2441.5s] 还有一个重要的原因是什么
[2441.5s-2443.4s] 因为短线打出了赚钱效应
[2444.7s-2446.4s] 有一部分的踏空玩家
[2446.4s-2448.6s] 实在是不敢再去玩波段的人
[2448.6s-2449.6s] 他没有办法
[2449.6s-2451.8s] 他只能被迫去做超短
[2453.8s-2455.6s] 被迫去做超短
[2459.3s-2460.8s] 小花花有什么好讲的
[2461.1s-2462.6s] 卖点都告诉你们的
[2462.6s-2464.3s] 天天讲来讲去有啥好讲的
[2475.8s-2476.5s] OK
[2481.1s-2484.9s] 大唐市值1300多亿都能做超短
[2484.9s-2485.8s] 这个算什么
[2485.8s-2487.5s] 韩务记都能20厘米涨停
[2487.5s-2488.3s] 算什么
[2489.4s-2492.3s] 现在不要再有以前那种概念了
[2493.3s-2495.6s] 每天哪怕100个亿的成交额
[2495.6s-2497.0s] 就不能连续涨停了
[2497.0s-2497.8s] 多吗
[2499.3s-2502.8s] 不要被以前的思维给压着
[2503.0s-2504.7s] 我就问简单的一句
[2505.0s-2506.6s] 哪怕超短的龙头
[2506.6s-2509.0s] 每天成交额100个亿多吗
[2509.0s-2509.9s] 不行吗
[2509.9s-2511.1s] 不能连板吗
[2511.1s-2512.8s] 不能连续7个板8个板吗
[2512.8s-2513.5s] 为什么不行
[2513.5s-2514.3s] 你告诉我
[2516.9s-2520.0s] 3万多亿的市场100亿算个毛
[2521.4s-2522.4s] 能理解吗
[2522.4s-2525.1s] 3万多亿的市场100亿算个毛
[2526.3s-2528.0s] 现在不是6000亿的市场
[2528.0s-2529.0s] 3万多亿
[2529.7s-2530.7s] 3万多亿
[2533.5s-2534.7s] 现在流动
[2534.7s-2536.6s] 每天成交有个小鱼30个亿的
[2536.6s-2537.6s] 我感觉都是小票
[2540.1s-2540.8s] 真的
[2541.9s-2543.0s] 思想观点早就变了
[2543.1s-2545.9s] 现在我感觉每天成交量低于30个亿的
[2545.9s-2546.9s] 他妈全是小票
[2548.3s-2549.4s] 大理都懒得大理
[2549.4s-2550.3s] 你们懂吗
[2553.8s-2555.8s] 现在最可怕的是那些成交量
[2555.8s-2557.6s] 不足3个亿的那些票
[2557.6s-2558.7s] 我看到就头大
[2559.1s-2559.8s] 一眼都不想看
[2559.8s-2561.5s] 这些票老早就都被我拉黑了
[2563.2s-2565.4s] 你们能理解这句话的含义吗
[2565.7s-2567.4s] 就现在我看到那种每天成交
[2567.4s-2568.4s] 我不足3个亿的票
[2568.4s-2569.5s] 我看到就头大
[2569.5s-2571.5s] 看到这张过去删两个大嘴罢子
[2572.4s-2574.2s] 就是以前开玩笑的文案
[2574.3s-2576.1s] 路边的狗见了都要挨两个大嘴罢子
[2576.1s-2577.0s] 就是这种感觉
[2577.3s-2578.0s] 3个亿以上的票
[2578.0s-2579.3s] 我看到现在就很头痛
[2579.6s-2581.6s] 现在我觉得30个亿以下流通
[2581.6s-2583.7s] 就是每轮成交不足30个亿的
[2583.7s-2584.7s] 我感觉都是小票
[2588.4s-2589.5s] 节点环境不一样
[2592.3s-2594.7s] 以前在6000亿那种寒冬市场
[2594.7s-2595.9s] 2023年的时候
[2596.3s-2598.3s] 看到一个成交超过10个亿的票
[2598.3s-2599.4s] 我都觉得是大票
[2601.1s-2601.6s] 太大了
[2601.6s-2602.4s] 真的是好大
[2602.4s-2603.0s] 10个亿
[2603.0s-2605.3s] 今天成交而居然都有10几个亿
[2608.5s-2609.4s] 以超短的角度
[2609.4s-2610.4s] 今天大唐是B点
[2610.5s-2612.1s] 今天大唐进价就是B点
[2613.5s-2615.6s] 今天在扫能上版的那一刻
[2615.9s-2616.9s] 直接就是B点
[2617.9s-2620.1s] 有一个粉丝问了说
[2620.1s-2623.1s] 大唐电力今天是买点
[2623.6s-2626.1s] 今天在扫能上版的那一刹
[2626.4s-2627.3s] 大唐的
[2627.7s-2629.6s] 涨幅大概是6个多点
[2630.1s-2631.7s] 这个点其实是最有确定性的
[2631.7s-2632.7s] 直接就可以B了
[2632.7s-2633.7s] 不需要去等涨停版
[2633.7s-2634.4s] 没有必要
[2634.5s-2635.5s] 没有任何意义
[2637.5s-2638.6s] 今天早上进价的时候
[2638.6s-2640.3s] 你就要看到扫能的超预期
[2640.5s-2643.6s] 早上进价9点15分到早9点20分的时候
[2643.6s-2644.9s] 扫能最高封单
[2644.9s-2645.5s] 最高的时候
[2645.5s-2646.7s] 我印象当中有8个亿
[2647.1s-2648.7s] 然后慢慢的侧单撤下来的
[2649.1s-2650.4s] 然后到进价结束以后
[2650.4s-2652.9s] 你会发现扫能开盘是8个点
[2653.0s-2654.2s] 然后秒封版的时候
[2654.2s-2655.0s] 那一刹那
[2655.3s-2656.2s] 它也是B点
[2656.3s-2657.5s] 大唐我跟你们说
[2657.5s-2659.8s] 大唐最好的B点是什么
[2661.3s-2662.0s] 我给你们来
[2662.0s-2663.3s] 我给你们教你们一下
[2664.0s-2666.5s] 大唐最好的B点是这一天
[2668.9s-2670.7s] 短线课可以了解一下
[2671.3s-2671.7s] 来
[2676.0s-2678.1s] 大唐最好的B点是这一天
[2691.8s-2692.4s] 这一天
[2696.1s-2696.7s] 这一天
[2697.3s-2698.9s] 这一天是大唐最好的B点
[2702.6s-2703.3s] 看到了吗
[2703.6s-2704.2s] 这一天
[2707.2s-2708.3s] 5月11号
[2708.6s-2709.9s] 这一天是最好的B点
[2714.9s-2716.2s] 这一天是最好的B点
[2717.6s-2719.1s] 还有一个B点就是今天
[2722.2s-2724.4s] 4版跟今天6版的进价
[2724.8s-2725.9s] 这两个是
[2726.3s-2728.5s] 比较确定性最高的两个B点
