[10.4s-209.7s] 哈喽大家晚上好啊
[1663.5s-1664.5s] 五月份的利润
[1664.5s-1665.5s] 全部丢回去了
[1665.5s-1667.5s] 甚至有一些都在亏
[1667.5s-1668.5s] 四月份的利润
[1668.5s-1669.5s] 我也不知道是怎么回事
[1669.5s-1674.8s] 是不是
[1675.8s-1676.8s] 所有的兴奋
[1676.8s-1677.8s] 我跟你们讲过了
[1677.8s-1678.8s] 这波行情
[1678.8s-1679.8s] 你能赚多少钱
[1679.8s-1680.8s] 也不重要
[1680.8s-1682.8s] 一个人的焦虑来源
[1682.8s-1684.8s] 于未来能不能挣钱
[1684.8s-1686.8s] 直播间你这么多师兄
[1686.8s-1688.8s] 师姐
[1688.8s-1691.8s] 师兄师姐都做的那么好
[1691.8s-1694.1s] 难道你后面一个
[1694.1s-1696.1s] 后面那一下一波的主持
[1696.1s-1698.1s] 你就一定会做的比他们差吗
[1698.1s-1700.1s] 我说了用一个月时间
[1700.1s-1701.1s] 我要让所有直播间的人
[1701.1s-1703.1s] 变成老粉
[1703.1s-1704.1s] 我说的老粉是
[1704.1s-1705.1s] 认知能力上面
[1705.1s-1708.1s] 要具备老粉的能力
[1708.1s-1709.1s] 具备你们现在
[1709.1s-1711.1s] 直播间这些师哥师姐的能力
[1711.1s-1712.1s] 这一轮行情
[1712.1s-1714.1s] 你们有太多师哥师姐
[1714.1s-1716.1s] 收益率都是超过60%的
[1716.1s-1720.6s] 现在有凯摩在了
[1720.6s-1721.6s] 他们能做到
[1721.6s-1723.6s] 你为什么未来就做不到
[1723.6s-1728.8s] 你哪里比他们差
[1728.8s-1735.2s] 对不对
[1735.2s-1737.2s] 三花不用动
[1737.2s-1740.4s] 三花不用动
[1740.4s-1742.4s] 机器人板块还是强硬的
[1742.4s-1744.4s] 你们去看今天的板块
[1744.4s-1745.4s] 好 第一件事情
[1745.4s-1746.4s] 我跟你们讲完了
[1746.4s-1747.4s] 大家聊到板块了
[1747.4s-1748.4s] 我们就把
[1748.4s-1749.4s] 进度往下拉一拉
[1749.4s-1751.4s] 第一件事情讲完了
[1751.4s-1753.4s] 指数则实系统
[1753.4s-1754.4s] 我跟你们讲完了
[1754.4s-1755.4s] 对不对
[1755.4s-1757.4s] 好 我们这里就不需要过多的去浪费时间了
[1757.4s-1759.4s] 定调已经定好了
[1759.4s-1760.4s] 就是五阶段
[1760.4s-1761.4s] 五阶段
[1761.4s-1763.4s] 它的操作难度会比前面
[1763.4s-1764.4s] 难很多
[1764.4s-1765.4s] 并且五阶段
[1765.4s-1766.4s] 它是一个
[1766.4s-1768.4s] 科技里面的结构性行情
[1768.4s-1769.4s] 更难
[1769.4s-1770.4s] 更难
[1770.4s-1771.4s] 这个我们要有定调
[1771.4s-1772.4s] 但是现在我们又不慌
[1772.4s-1774.4s] 我们又有利润电了
[1775.4s-1777.4s] 我们又有利润电了
[1777.4s-1780.0s] 能明白吗
[1780.0s-1781.0s] 现在已经既然确认
[1781.0s-1782.0s] 五阶段能走出来
[1782.0s-1783.0s] 那么像三花这种
[1783.0s-1784.0s] 我们可以等到五阶段
[1784.0s-1786.0s] 结束的时候去取关
[1786.0s-1788.0s] 不需要以个股的方式去离场
[1788.0s-1790.0s] 按节点的方式去离场
[1790.0s-1791.0s] 就可以了
[1791.0s-1792.0s] 能听懂吗
[1792.0s-1794.0s] 不需要按个股的方式
[1794.0s-1796.0s] 后面的卖点
[1796.0s-1797.0s] 其实我们本质上面是
[1797.0s-1799.0s] 通过环境去卖
[1799.0s-1800.0s] 通过环境去卖
[1800.0s-1803.0s] 因为下五阶段走完以后
[1803.0s-1804.0s] 再如果下跌
[1804.0s-1805.0s] 那我就不能保证
[1805.0s-1806.0s] 杀伤力有多大了
[1806.0s-1807.0s] 你们能懂吗
[1807.0s-1809.0s] 这里我先说一下
[1809.0s-1811.0s] 五阶段走完以后
[1811.0s-1813.0s] 再开启下跌
[1813.0s-1815.0s] 这里的下跌
[1815.0s-1816.0s] 杀伤力有多大
[1816.0s-1818.0s] 这我就没法去说了
[1818.0s-1821.3s] 这就不太好说了
[1821.3s-1823.3s] 这可能杀伤力会非常大
[1823.3s-1824.3s] 能懂吗
[1824.3s-1825.3s] 是意味着这一波
[1825.3s-1827.3s] 主声行情结束
[1827.3s-1829.3s] 你们要去考虑到这一个点
[1829.3s-1830.3s] 所以五阶段的时候
[1830.3s-1832.3s] 环境系统一旦出现问题
[1832.3s-1834.3s] 我们宁愿空舱
[1834.3s-1835.3s] 多看看
[1835.3s-1837.3s] 也不跟他下机发乱扯弹
[1837.3s-1840.3s] 把这一轮主声行情守住
[1840.3s-1845.4s] 能懂吗
[1845.4s-1850.5s] OK
[1850.5s-1852.5s] 所以这个先提前说一下
[1852.5s-1853.5s] 是不是瀑布沙
[1853.5s-1854.5s] 是不是什么
[1854.5s-1855.5s] 我不知道
[1855.5s-1856.5s] 反正五阶段走完以后的
[1856.5s-1858.5s] 下跌力度肯定是比较大的
[1858.5s-1859.5s] 没有六阶段
[1859.5s-1863.9s] 不可能有六阶段
[1863.9s-1864.9s] OK
[1864.9s-1866.9s] 这个我先说一下
[1866.9s-1867.9s] 好
[1867.9s-1870.9s] 那么这是我们的
[1870.9s-1873.9s] 这是我们的指数测试系统
[1873.9s-1874.9s] 和我们当下环境的定调量
[1874.9s-1876.9s] 来看一下板块
[1876.9s-1877.9s] 板块我只能说一句
[1877.9s-1879.9s] 我们选的板块就是牛
[1879.9s-1882.9s] 那有什么办法呢
[1882.9s-1884.9s] 我们选的板块就是牛
[1884.9s-1889.1s] 那有什么办法呢
[1889.1s-1890.1s] 芯片里面最强的
[1890.1s-1892.1s] 今天最强的戏分是什么
[1892.1s-1893.1s] 纯属芯片
[1893.1s-1899.1s] 是不是
[1899.1s-1900.1s] 是不是今天芯片里面最强的
[1900.1s-1904.4s] 戏分是不是还是纯属芯片
[1904.4s-1908.2s] 是不是还是纯属芯片
[1908.2s-1909.2s] 对不对
[1909.2s-1911.2s] 所以说我们选的算力内
[1911.2s-1913.2s] 今天光纤稍微有调整
[1913.2s-1915.2s] 但是整体光纤也不弱
[1915.2s-1916.2s] 光纤也不弱
[1916.2s-1918.2s] 然后还有第三个板块
[1918.2s-1919.2s] 你看又是机器人
[1919.2s-1921.2s] 机器人是不弱的
[1921.2s-1923.2s] 但是这一次机器人
[1923.2s-1925.2s] 先长起来的方向是什么
[1925.2s-1927.2s] 长的不是大家认为的羽树
[1927.2s-1930.2s] 很多人觉得羽树要上市了
[1930.2s-1932.2s] 大家都觉得羽树概念要起飞
[1932.2s-1933.2s] 但是哎
[1933.2s-1935.2s] 草里大爷的他不长羽树长什么
[1935.2s-1937.2s] 智园机器人发现没
[1937.2s-1940.2s] 这一波机器人的行情
[1940.2s-1942.2s] 长的最好的标记是智园机器人
[1942.2s-1944.2s] 你们去看上尾星才就能发现了
[1944.2s-1952.4s] 上尾星的长得特别好
[1952.4s-1953.4s] 是不是
[1953.4s-1954.4s] 所以机器人这个板块
[1954.4s-1955.4s] 我跟你们说
[1955.4s-1957.4s] 在所有的补涨的板块里面
[1957.4s-1964.4s] 同
[1964.4s-1968.4s] 同在外卖AI同样也是这个软件
[1968.4s-1969.4s] 笑死了
[1969.4s-1973.4s] 那是我们机构的一些主播吧
[1973.4s-1975.4s] 来 ok
[1975.4s-1977.4s] 来 继续
[1977.4s-1979.4s] 我刚才说了就是
[1979.4s-1981.4s] 你们去看所有的板块
[1981.4s-1982.4s] 除了AI科技以外
[1982.4s-1984.4s] 我说有机会成为补涨的板块里
[1984.4s-1986.4s] 最强的就是这些
[1986.4s-1988.4s] 机器人这几件走的一点都不弱
[1988.4s-1990.4s] 但只不过他走的是一分目前强
[1990.4s-1991.4s] 的是智园机器人
[1991.4s-1992.4s] 但我还是那句话
[1992.4s-1995.4s] 机器人跟我们的AI科技是不同的
[1995.4s-1998.4s] 因为他相对比较低
[1998.4s-2000.4s] 智园机器人上涨
[2000.4s-2002.4s] 上尾星才新高
[2002.4s-2004.4s] 对于整个机器人板块来说
[2004.4s-2006.4s] 是好事
[2006.4s-2007.4s] 能懂吗
[2007.4s-2011.4s] 一个板块想要未来能够继续往前走
[2011.4s-2019.2s] 必须要有先锋部队去打出高度来
[2019.2s-2021.2s] 必须要有
[2021.2s-2023.2s] 必须要有
[2023.2s-2024.2s] 你们懂吗
[2024.2s-2025.2s] 所以对于机器人来说
[2025.2s-2026.2s] 现在是好事情
[2026.2s-2027.2s] 终于有一个细分方向
[2027.2s-2029.2s] 开始比较凶悍
[2029.2s-2032.6s] 开始破历史新高了
[2032.6s-2034.6s] 所以这就是为什么三花我们不能走
[2034.6s-2036.6s] 你们要要理解一点
[2036.6s-2040.6s] 三花是机器人行业的龙头
[2040.6s-2042.6s] 在我们是A股上市公司里面
[2042.6s-2044.6s] 龙头机器人龙头公司
[2044.6s-2045.6s] 只有两家
[2045.6s-2047.6s] 一家是三花
[2047.6s-2049.6s] 一家是拓谱
[2049.6s-2052.6s] 所有的机器人
[2052.6s-2056.6s] 不管是智园还是语述
[2056.6s-2059.6s] 不管是智园还是语述
[2059.6s-2061.6s] 绿地也是
[2061.6s-2062.6s] 绿地也是
[2062.6s-2065.6s] 所有的机器人都离不开这几家公司
[2065.6s-2068.6s] 一定有一些东西
[2069.6s-2074.9s] 一定有这些东西
[2074.9s-2081.3s] 是需要他们提供领部件的
[2081.3s-2082.3s] 懂了吗
[2082.3s-2083.3s] 好多人
[2083.3s-2085.3s] 那老大不是好
[2085.3s-2090.4s] 最终会总过来的都在这个直播间
[2090.4s-2093.4s] 你们怎么还不懂的交付
[2093.4s-2095.4s] 都是我在做
[2095.4s-2098.4s] 所有进来的人最后
[2098.4s-2101.4s] 都会会总到这个直播间
[2101.4s-2103.4s] 付费的
[2103.4s-2105.4s] 只会不付费的是不可能看到
[2105.4s-2108.4s] 我们这里内部的偷偷摸摸的直播的
[2108.4s-2110.4s] 能懂了吗
[2110.4s-2112.4s] 所以说最后付费的全部贵人
[2112.4s-2114.4s] 所以为什么我们直播间
[2114.4s-2115.4s] 每天都有新粉
[2115.4s-2118.4s] 为什么我每次跟所有的新粉说
[2118.4s-2119.4s] 新粉进来
[2119.4s-2121.4s] 其他啥也不要跟我说
[2121.4s-2122.4s] 首先几件事情
[2122.4s-2125.8s] 第一去听历史直播回放
[2125.8s-2127.8s] 从3月26号开始听整轮主持人
[2127.8s-2128.8s] 让全部听完
[2128.8s-2130.8s] 第二
[2130.8s-2132.8s] 认知一下我到底有多牛逼
[2132.8s-2134.8s] 第三直播间的老粉
[2134.8s-2136.8s] 现在已经变得多牛逼了
[2136.8s-2137.8s] 第四
[2137.8s-2138.8s] 这样子的情况下面
[2138.8s-2140.8s] 模式是否可以复制
[2140.8s-2141.8s] 既然可以复制
[2141.8s-2142.8s] 未来你能不能做到
[2142.8s-2143.8s] 完事了
[2143.8s-2147.9s] 懂了吗
[2147.9s-2153.2s] 懂了吗
[2153.2s-2156.1s] 那肯定的呀
[2156.1s-2158.1s] 这我一个亿的工资哪里来
[2158.1s-2162.1s] 这他们肯定要在外面去做宣传的呀
[2162.1s-2163.1s] 但这是他们的事情
[2163.1s-2164.1s] 我是负责交互
[2164.1s-2170.3s] 好
[2170.3s-2171.3s] OK
[2171.3s-2172.3s] 那么回归到板块
[2172.3s-2173.3s] 板块这边
[2173.3s-2175.3s] 我们方向上面没有变过
[2175.3s-2176.3s] 现在最好的板块
[2176.3s-2178.3s] 芯片里面最好的就是纯主芯片
[2178.3s-2179.3s] 已经讲过了
[2179.3s-2181.3s] 我只是在宠布以下这句话
[2181.3s-2182.3s] 你们去听
[2182.3s-2184.3s] 昨天前天大前天的直播都能听到
[2184.3s-2186.3s] 芯片里面最好的就是纯主芯片
[2186.3s-2187.3s] 最强的
[2187.3s-2190.3s] 算力里面最好的就是光芯片
[2190.3s-2191.3s] 光鲜
[2191.3s-2192.3s] 对吧
[2192.3s-2194.3s] 机器人是所有的
[2194.3s-2196.3s] 除AI硬科技以外
[2196.3s-2198.3s] 补掌板块里面最好的机器人板块
[2198.3s-2200.3s] 目前机器人板块在涨质源
[2200.3s-2202.3s] 既然质源能涨
[2202.3s-2203.3s] 那么你们放心
[2203.3s-2206.3s] 其他机器人也一定也会跟涨
[2206.3s-2209.5s] 懂了吗
[2209.5s-2212.5s] 其他机器人也一定也会跟涨
[2212.5s-2213.5s] OK
[2213.5s-2214.5s] 我还是那句话
[2214.5s-2216.5s] 胜负最后是要交给市场的
[2216.5s-2217.5s] 来我们来看一下
[2217.5s-2219.5s] 今天AI给我们选的个股
[2219.5s-2220.5s] 好不好笑
[2220.5s-2221.5s] 来看一下
[2221.5s-2226.5s] 熟不熟悉
[2226.5s-2227.5s] 熟不熟悉
[2227.5s-2230.5s] AI今天给我们选的两个个股
[2230.5s-2231.5s] 熟不熟悉
[2231.5s-2235.2s] 熟不熟悉
[2235.2s-2239.9s] 拥有非常熟悉的感觉
[2239.9s-2243.6s] 以后在A股市场
[2243.6s-2245.6s] 应该多一个概念
[2245.6s-2251.3s] 叫做心意概念
[2252.3s-2254.3s] 明天有一家都有一家
[2254.3s-2256.3s] 明天都有一家
[2256.3s-2258.3s] 以后是不是应该
[2258.3s-2262.7s] 应该有一个叫做心意精选
[2262.7s-2266.7s] 心意精选过的票就是好
[2266.7s-2268.7s] 你们记得有这么一个广告吗
[2268.7s-2270.7s] 我忘了这是一个什么广告
[2270.7s-2272.7s] 我记得有这么一个广告
[2272.7s-2273.7s] 这是一个广告词
[2273.7s-2277.7s] 以后就是心意选过的票就是好
[2277.7s-2281.3s] 太神了
[2281.3s-2283.3s] 这哪里是个股
[2283.3s-2284.3s] 家人
[2284.3s-2285.3s] 话还是你会说
[2285.3s-2287.3s] 情商不错
[2290.3s-2291.3s] 老早就想出来了
[2293.3s-2295.3s] 只买心意概念
[2295.3s-2310.2s] 明心待意
[2310.2s-2311.2s] 惠人胜保
[2311.2s-2315.0s] 你好他也好
[2319.0s-2320.0s] OK
[2320.0s-2322.0s] 所以今天
[2322.0s-2324.0s] 今天反正你们看了软件
[2324.0s-2325.0s] 有些人进去的人
[2325.0s-2327.0s] 明天也能吃点意见
[2327.0s-2328.0s] 短线的角度
[2328.0s-2330.0s] 短线今天各股模式进去的人
[2330.0s-2332.0s] 你可能还是以短线高频的模式
[2332.0s-2333.0s] 不停的去换股
[2333.0s-2334.0s] 不停的去换股
[2334.0s-2335.0s] 这几天软件也牛逼的
[2335.0s-2336.0s] 说句实话
[2336.0s-2338.0s] 这个四阶段调整力度这么大
[2338.0s-2339.0s] 软件综合这几天
[2339.0s-2340.0s] 你们去算
[2340.0s-2341.0s] 调整的这几天开始
[2341.0s-2343.0s] 从大音线开始算
[2343.0s-2345.0s] 软件是赚钱的
[2345.0s-2347.0s] 那也真的是挺牛逼的
[2347.0s-2349.0s] 当然我们的主观多投票也是赚钱的
[2349.0s-2352.3s] 软件也是赚钱的
[2352.3s-2353.3s] 我只能说一句
[2353.3s-2355.3s] 第一原因跟第二原因
[2355.3s-2357.3s] 实在是不商向
[2357.3s-2359.3s] 不相上下
[2359.3s-2361.3s] 两者结合起来
[2361.3s-2362.3s] 你们自己说
[2362.3s-2365.3s] 我真的跟你们说
[2365.3s-2366.3s] 我们直播间
[2366.3s-2367.3s] 你自己抠一个
[2367.3s-2368.3s] 公平上面抠一个
[2368.3s-2370.3s] 真的是自从到了这个直播间
[2370.3s-2372.3s] 以后人生才开始赚钱的
[2372.3s-2376.8s] 你公平上面扣个6
[2376.8s-2382.9s] 你公平上面扣个6
[2382.9s-2384.9s] 今天有钱给爱人发红包
[2384.9s-2385.9s] 都不用眨眼了
[2385.9s-2391.1s] 用着我给的票
[2391.1s-2393.1s] 给你的爱人发钱
[2393.1s-2396.9s] 聪明还是你聪明
[2396.9s-2397.9s] 对吧
[2397.9s-2399.9s] 这些基本上都是新粉
[2399.9s-2400.9s] 真的他们从来没有赚过钱
[2400.9s-2402.9s] 我今天看到一个新粉
[2402.9s-2403.9s] 他说这辈子
[2403.9s-2407.9s] 第一次一个月赚了30个点
[2407.9s-2408.9s] 真的
[2408.9s-2411.9s] 特别真实的一个粉
[2411.9s-2412.9s] 特别真实的
[2412.9s-2413.9s] 他今天给我发了一个消息
[2413.9s-2414.9s] 热烈瘾框
[2414.9s-2417.9s] 给我编辑了韩文昌一段
[2417.9s-2418.9s] 他说他这辈子
[2418.9s-2421.9s] 第一次一个月赚了30个点
[2421.9s-2423.9s] 这辈子终于股票账户
[2423.9s-2425.9s] 就是从他进入股市以来
[2425.9s-2428.9s] 终于现在做到持平了
[2428.9s-2429.9s] 不亏钱了
[2430.9s-2431.9s] 自从进了直播前
[2431.9s-2432.9s] 我开始飘了
[2432.9s-2433.9s] 以前我不这样的
[2434.9s-2435.9s] 你们想
[2436.9s-2437.9s] 你们想
[2437.9s-2446.1s] 所以我跟你们讲的
[2446.1s-2448.1s] 白洋作就是这样很直接
[2449.1s-2451.1s] 翻译所有粉丝
[2451.1s-2452.1s] 发给我的信息
[2452.1s-2453.1s] 我觉得真的
[2453.1s-2455.1s] 现在我每天看你们的
[2455.1s-2457.1s] 看你们的这些私信
[2457.1s-2459.1s] 也变成了我的一下
[2459.1s-2461.1s] 一下必修课
[2461.1s-2463.1s] 有的时候版有意思的
[2463.1s-2464.1s] 我觉得大家的认知
[2464.1s-2465.1s] 都普遍有提高很多
[2465.1s-2467.1s] 从你们给我反馈的一些问题
[2467.1s-2468.1s] 上面我能感受到
[2468.1s-2469.1s] 还有一个
[2469.1s-2471.1s] 我们直播间有一些新粉
[2471.1s-2472.1s] 你在直播间
[2472.1s-2474.1s] 可能真的有点跟不上节奏
[2474.1s-2476.1s] 你每天一定要来听
[2476.1s-2477.1s] 因为这里是你能力
[2477.1s-2478.1s] 升华的地方
[2478.1s-2480.1s] 然后我们的
[2482.1s-2485.1s] 还有一个客服部门
[2485.1s-2486.1s] 我们的客服主管
[2486.1s-2487.1s] 又很贴心地给你们
[2487.1s-2488.1s] 加了一个服务
[2488.1s-2490.1s] 有一些新粉跟不上节奏的
[2490.1s-2492.1s] 还会有一个
[2492.1s-2494.1s] 头骨老师
[2494.1s-2496.1s] 你们可以去他的那边
[2496.1s-2498.1s] 也去学习一些基础东西
[2498.1s-2499.1s] 学习一下软件
[2499.1s-2500.1s] 学习一下交易
[2500.1s-2501.1s] 然后这个直播间
[2501.1s-2502.1s] 你一定要听
[2502.1s-2504.1s] 因为你要提升自己
[2504.1s-2505.1s] 能懂吗
[2505.1s-2506.1s] 两头一起补
[2506.1s-2508.1s] 先去补一下你自己的
[2508.1s-2509.1s] 就是基础
[2509.1s-2510.1s] 实在是太差的人
[2510.1s-2511.1s] 要补一下
[2511.1s-2513.1s] 还有一个怎么补
[2513.1s-2514.1s] 看心法
[2514.1s-2515.1s] 看回放
[2515.1s-2517.1s] 三个点可以让你补
[2517.1s-2518.1s] 所以以后你不要再跟我说
[2518.1s-2519.1s] 哎呀我什么都不懂
[2519.1s-2520.1s] 我是个新人
[2520.1s-2522.1s] 我不想听到这句话
[2522.1s-2524.1s] 第一看心法
[2524.1s-2525.1s] 第二听回放
[2525.1s-2527.1s] 第三跟着基础老师
[2527.1s-2528.1s] 多去学习一下
[2528.1s-2529.1s] 你们有这个需求的
[2529.1s-2531.1s] 可以去跟客服联系
[2531.1s-2533.1s] 你们自己的客服联系
[2537.1s-2538.1s] 自从看了老大的时候
[2538.1s-2539.1s] 我和老婆整天
[2539.1s-2540.1s] 让我离开能不能去杭州
[2540.1s-2541.1s] 买房子
[2545.5s-2549.5s] 那么软件的
[2549.5s-2552.5s] 软件的那个
[2552.5s-2553.5s] 讲的标记也很好
[2553.5s-2554.5s] 然后我们来讲一下
[2554.5s-2555.5s] 超短
[2555.5s-2557.5s] 超短我一直给你们强调过
[2557.5s-2558.5s] 6月份
[2558.5s-2559.5s] 6月份
[2559.5s-2560.5s] 今天早上我跟你们说
[2560.5s-2561.5s] 开出来的时候
[2561.5s-2562.5s] 昨天给了你们
[2562.5s-2564.5s] 三个标准你们还记得吗
[2564.5s-2566.5s] 第一有两个
[2566.5s-2567.5s] 进一栋的标记
[2567.5s-2569.5s] 不能出现大面
[2569.5s-2570.5s] 今天那个电力股
[2570.5s-2571.5s] 停开的
[2571.5s-2572.5s] 另外一个
[2572.5s-2573.5s] 昨天尾盘炸板的
[2573.5s-2574.5s] 那个电力股
[2574.5s-2575.5s] 今天也是大低开
[2575.5s-2577.5s] 超短这个方向
[2577.5s-2578.5s] 还是那句话
[2578.5s-2580.5s] 就是不好做
[2580.5s-2581.5s] 不流畅
[2581.5s-2583.9s] 能懂吗
[2583.9s-2587.8s] 想要出现大腰
[2587.8s-2588.8s] 真的可能要等到
[2588.8s-2590.8s] 五阶段走完
[2590.8s-2592.8s] 机构行情走完
[2592.8s-2595.8s] 才有机会游自抱团
[2595.8s-2597.8s] 才有机会用到
[2597.8s-2598.8s] 我们的短信
[2598.8s-2599.8s] 短线
[2599.8s-2602.8s] 情绪研判1号和2号
[2602.8s-2604.8s] 环境不适合
[2604.8s-2605.8s] 没办法
[2605.8s-2606.8s] 他就是走不出来
[2606.8s-2608.8s] 今天尾盘能够封回去
[2608.8s-2609.8s] 已经泄天泄地了
[2609.8s-2612.5s] 你们懂吗
[2612.5s-2613.5s] 今天尾盘
[2613.5s-2615.5s] 最高标能够封回去
[2615.5s-2616.5s] 已经泄天泄地了
[2616.5s-2617.5s] 早上我看他秒
[2617.5s-2620.5s] 跌到附六位置
[2620.5s-2621.5s] 跌到附六位置
[2621.5s-2622.5s] 还是因为风格的原因
[2622.5s-2624.5s] 现在市场风格
[2624.5s-2625.5s] 哪怕是结构心中的
[2625.5s-2627.5s] 结构性抱团
[2627.5s-2630.5s] 市场风格他还在
[2630.5s-2631.5s] 机构端
[2631.5s-2633.5s] 他不在游自端
[2633.5s-2635.5s] 不在游自端
[2635.5s-2636.5s] 好
[2636.5s-2637.5s] 那么时间有点紧迫了
[2637.5s-2638.5s] 我最后做一个总结
[2638.5s-2639.5s] 我们今天的直播
[2639.5s-2640.5s] 就到此结束
[2640.5s-2641.5s] 到此结束
[2641.5s-2642.5s] 新粉
[2642.5s-2643.5s] 以后进来
[2643.5s-2644.5s] 客服也要提醒新粉
[2644.5s-2645.5s] 三件事情一定要做好
[2645.5s-2646.5s] 尤其是第二件
[2646.5s-2647.5s] 第一件
[2647.5s-2648.5s] 听心吧
[2648.5s-2650.5s] 第一要领先听心吧
[2650.5s-2652.5s] 第二要领
[2652.5s-2653.5s] 把历史直播回放
[2653.5s-2654.5s] 去听一遍
[2654.5s-2655.5s] 我要求不高
[2655.5s-2656.5s] 3月26号以后
[2656.5s-2657.5s] 这一轮行情
[2657.5s-2658.5s] 你把这里听完
[2658.5s-2660.5s] 胜过你学习
[2660.5s-2661.5s] 省脸
[2661.5s-2663.5s] 我就敢把话撂在这里
[2663.5s-2668.6s] 懂了吗
[2668.6s-2669.6s] 以后客服
[2669.6s-2670.6s] 所有的
[2670.6s-2671.6s] 新进的用户
[2671.6s-2673.6s] 都让他们去干这件事情
[2673.6s-2674.6s] 问是谁说的
[2674.6s-2675.6s] 就是我说的
[2675.6s-2678.3s] 现在帮藏武将
[2678.3s-2679.3s] 操控就不慌了
[2679.3s-2680.3s] 第二件事
[2680.3s-2681.3s] 第三件事情
[2681.3s-2682.3s] 实在基础薄弱的
[2682.3s-2684.3s] 你们可以找客服
[2684.3s-2686.3s] 找我们的基础老师
[2686.3s-2687.3s] 去补一下基础
[2687.3s-2688.3s] 但是补基础
[2688.3s-2689.3s] 你们也要做前面
[2689.3s-2690.3s] 两件事情
[2690.3s-2691.3s] 懂了吗
[2691.3s-2692.3s] 听明白了吗
[2692.3s-2693.3s] OK
[2693.3s-2694.3s] 好
[2694.3s-2695.3s] 那么最后我们把行情
[2695.3s-2696.3s] 总结一下
[2696.3s-2697.3s] 第一指数择时系统
[2697.3s-2698.3s] 现在已经进入到了
[2698.3s-2699.3s] 五阶段
[2699.3s-2700.3s] 那么我们暂时不用去管他
[2700.3s-2702.3s] 反正什么时候出现
[2702.3s-2703.3s] 爆亮阴线
[2703.3s-2705.3s] 或者巨量阳线
[2705.3s-2706.3s] 也要当心
[2706.3s-2707.3s] 巨量大阳线也要当心
[2707.3s-2708.3s] 巨量大阳线
[2708.3s-2709.3s] 也要当心
[2709.3s-2710.3s] 三点六万一
[2710.3s-2711.3s] 三点八万一的
[2711.3s-2712.3s] 成交量的阳线放出来
[2712.3s-2713.3s] 也要当心
[2713.3s-2714.3s] OK
[2714.3s-2715.3s] 两个
[2715.3s-2716.3s] 那么第二个
[2716.3s-2717.3s] 就是指数择时系统
[2717.3s-2718.3s] 出现空
[2718.3s-2719.3s] 那我就要离场
[2719.3s-2721.3s] 五阶段这里一定要注意
[2721.3s-2722.3s] 我们宁愿
[2722.3s-2724.3s] 不要去贪恋尾巴行情
[2724.3s-2725.3s] 也要多看看
[2725.3s-2726.3s] 因为五阶段的调整
[2726.3s-2727.3s] 五阶段结束以后调整
[2727.3s-2730.3s] 就正式进入到了修整期了
[2730.3s-2731.3s] 这个修整期的伤害力
[2731.3s-2732.3s] 有多大
[2732.3s-2733.3s] 就不可估量了
[2733.3s-2734.3s] 这个我先提前说
[2734.3s-2735.3s] 好 暂时没问题
[2735.3s-2736.3s] 这第1个
[2736.3s-2737.3s] 第2个
[2737.3s-2738.3s] 市场方向上面
[2738.3s-2739.3s] 没有任何问题
[2739.3s-2741.3s] 依旧在我们最强的审美上面
[2741.3s-2742.3s] 芯片里面你要做
[2742.3s-2743.3s] 存储芯片是最好的
[2743.3s-2746.3s] 那个通信里面
[2746.3s-2748.3s] 你要做最好的就是光芯
[2748.3s-2749.3s] 光芯片
[2749.3s-2751.3s] 然后补充满管里面
[2751.3s-2752.3s] 最好的就是机器人
[2752.3s-2753.3s] 只不过机器人里面
[2753.3s-2754.3s] 现在最强的是
[2754.3s-2756.3s] 支援系列的
[2756.3s-2757.3s] 你懂吗
[2757.3s-2758.3s] 这板块
[2758.3s-2759.3s] 好 个人偏好
[2759.3s-2760.3s] 现在还是机构行情
[2760.3s-2762.3s] 市场偏好还是机构行情
[2762.3s-2763.3s] 还是以大为美
[2763.3s-2765.3s] 业绩为美
[2765.3s-2766.3s] 还是以大为美
[2766.3s-2767.3s] 以业绩为美
[2767.3s-2770.5s] 最后就是刻骨上面的
[2770.5s-2771.5s] 我们问题不大
[2771.5s-2773.5s] 我们现在手上两个标地
[2773.5s-2774.5s] 对吧
[2774.5s-2775.5s] 我们现在手上两个标地
[2775.5s-2777.5s] 很OK
[2777.5s-2778.5s] 反正
[2778.5s-2780.5s] 叔叔服服
[2780.5s-2781.5s] 在这种行情
[2781.5s-2782.5s] 在这么垃圾的行情下面
[2782.5s-2783.5s] 我们还是挣钱的
[2783.5s-2786.5s] 今天赵易还给到了涨停
[2786.5s-2787.5s] 给到了涨停
[2787.5s-2788.5s] 那么当然
[2788.5s-2789.5s] 你如果是各股模式里面的
[2789.5s-2790.5s] 各股也很牛逼
[2790.5s-2791.5s] 也赚钱
[2791.5s-2792.5s] 你们去看这个标地
[2792.5s-2793.5s] 我前天还刚
[2793.5s-2794.5s] 跟你们讲过
[2794.5s-2795.5s] 华工
[2795.5s-2796.5s] 你们去看一下
[2796.5s-2800.9s] 华工长了多少
[2800.9s-2801.9s] 三内卖点都可以
[2801.9s-2803.9s] 没有对和错之分
[2803.9s-2805.9s] 华工今天又是给易家的
[2805.9s-2810.1s] 无论是我们的软件
[2810.1s-2812.1s] 无论是第一原因
[2812.1s-2813.1s] 还是第二原因
[2813.1s-2814.1s] 都有比
[2814.1s-2815.1s] 线下聚会的报名
[2815.1s-2817.1s] 我会通知你们的 不要急
