[13.5s-15.5s] 来 晚上好
[15.5s-38.0s] 稍等我把屏幕调一下
[1171.9s-1172.9s] 所以最后你看他
[1172.9s-1174.9s] 学了西兴大法以后
[1174.9s-1175.9s] 这才是能说
[1175.9s-1176.9s] 是真正的决顶高手
[1176.9s-1178.9s] 你光有这个有毛有
[1178.9s-1180.9s] 光有独孤九剑有毛有
[1180.9s-1181.9s] 所以在金庸老先生
[1181.9s-1183.9s] 底下没有一个决顶高手
[1183.9s-1185.9s] 是内功是不强的
[1185.9s-1186.9s] 招式这种东西
[1186.9s-1187.9s] 是千变万化的
[1187.9s-1189.9s] 你会不停的去迭代
[1189.9s-1190.9s] 有人能克制你的招式
[1190.9s-1192.9s] 但他克制不了你的内力
[1192.9s-1195.5s] OK
[1195.5s-1196.5s] 好
[1196.5s-1197.5s] 那么来
[1197.5s-1199.5s] 那么今天算是我们
[1199.5s-1201.5s] 叫做久违的
[1201.5s-1203.5s] 在三阶段里面
[1203.5s-1205.5s] 出现的巨大的一次调整
[1205.5s-1207.5s] 这一根阴线
[1207.5s-1209.5s] 非常像我们这一天
[1209.5s-1210.5s] 发现没有
[1210.5s-1214.8s] 像不像
[1215.8s-1216.8s] 像不像
[1216.8s-1218.8s] 比这一天
[1218.8s-1220.8s] 还要来的更恶劣
[1221.8s-1222.8s] 是不是一阶段
[1222.8s-1224.8s] 见顶的那个阴线
[1224.8s-1225.8s] 跟我们现在
[1225.8s-1226.8s] 三阶段这个阴线
[1226.8s-1227.8s] 是不是很像
[1228.8s-1229.8s] 是不是很像
[1229.8s-1232.4s] 对吧
[1232.4s-1233.4s] 所以说
[1233.4s-1235.4s] 接下来风险大于机会
[1235.4s-1237.4s] 也就是为什么10点44分
[1237.4s-1238.4s] 朋友圈我会去分享
[1238.4s-1239.4s] 这件事的原因
[1239.4s-1240.4s] 还有一个
[1240.4s-1241.4s] 我们去看一下
[1241.4s-1249.6s] 分时图形
[1249.6s-1250.6s] 我们就不去看了
[1250.6s-1252.9s] 分时图形
[1252.9s-1253.9s] 我们就不去看了
[1253.9s-1255.9s] 是不是非常的像
[1255.9s-1259.6s] 那么今天跟那一天
[1259.6s-1261.6s] 有一定的区别
[1261.6s-1262.6s] 但是有一定的相似
[1262.6s-1263.6s] 那一天是什么
[1263.6s-1264.6s] CPO调整
[1265.6s-1267.6s] CPO大调整
[1268.6s-1270.6s] 第一阶段的主线大调整
[1270.6s-1271.6s] 今天是什么
[1271.6s-1272.6s] 普爹
[1273.6s-1274.6s] 所以我说了
[1274.6s-1275.6s] 今天的杀伤力
[1275.6s-1277.6s] 比那一天要更
[1277.6s-1281.3s] 今天的杀伤力
[1281.3s-1284.3s] 比那一天要更大
[1287.6s-1288.6s] 好吧
[1288.6s-1289.6s] 那么今天也基本上
[1289.6s-1291.6s] 可以明确的告诉大家
[1291.6s-1294.6s] 三阶段正式结束
[1295.6s-1296.6s] 市场进入
[1296.6s-1299.6s] 四阶段修整期
[1300.6s-1301.6s] 那么这里
[1301.6s-1303.6s] 又会有两种情况
[1303.6s-1304.6s] 一
[1304.6s-1306.6s] 阶段强势
[1307.6s-1309.6s] 它走成这样子的形式
[1309.6s-1310.6s] 走成这样子的形式
[1310.6s-1313.6s] 能够基本上能够横得住
[1314.6s-1315.6s] 能够在
[1318.2s-1320.2s] 三十一块五毛五以上的
[1320.2s-1322.2s] 这种位置能够横得住
[1322.2s-1324.2s] 这叫强势的横盘
[1325.2s-1327.2s] 像二阶段这样子
[1327.2s-1329.2s] 但个人更倾向于
[1330.2s-1331.2s] 调下来
[1331.2s-1333.2s] 大概比例是三七开
[1333.2s-1335.2s] 我先给你们心中有个底
[1335.2s-1337.5s] 就是
[1337.5s-1338.5s] 现在
[1338.5s-1339.5s] 首先第一个
[1339.5s-1340.5s] 三阶段这里
[1340.5s-1342.5s] 肯定是已经结束了
[1342.5s-1343.5s] 三阶段跟一阶段
[1343.5s-1345.5s] 整体的涨幅好像差不了太多
[1345.5s-1347.5s] 这里是一阶段
[1348.5s-1349.5s] 二阶段
[1349.5s-1350.5s] 三阶段
[1350.5s-1351.5s] 差不了太多
[1351.5s-1352.5s] 差不了太多
[1353.5s-1354.5s] 那么接下来
[1354.5s-1355.5s] 进入到四阶段
[1355.5s-1356.5s] 四阶段
[1356.5s-1357.5s] 看看能不能像走成
[1357.5s-1358.5s] 二阶段这样子的强势
[1358.5s-1359.5s] 如果能走成
[1359.5s-1360.5s] 二阶段这样的强势
[1360.5s-1361.5s] 那接到关系
[1361.5s-1363.5s] 那么大概率是什么
[1363.5s-1364.5s] 大概率是什么
[1364.5s-1368.4s] 我认为三七开的比例
[1368.4s-1369.4s] 是
[1369.4s-1370.4s] 四阶段的调整力度
[1370.4s-1371.4s] 照理来说
[1371.4s-1372.4s] 应该要比
[1372.4s-1374.4s] 二阶段要更强一些
[1374.4s-1375.4s] 所以
[1375.4s-1376.4s] 现在是属于我们
[1376.4s-1378.4s] 正式进入到了
[1379.4s-1380.4s] 修整阶段
[1380.4s-1381.4s] 然后在四阶段的时候
[1381.4s-1383.4s] 我们要干一件什么事情
[1384.4s-1385.4s] 干一件什么事情
[1385.4s-1387.4s] 干一件我们去等待着
[1388.4s-1389.4s] 新的主线
[1390.4s-1391.4s] 新的扛跌方向
[1393.4s-1394.4s] 退潮的时候
[1394.4s-1395.4s] 谁知道
[1395.4s-1397.4s] 我们才知道谁在裸泳吗
[1397.4s-1398.4s] 那么在这种节点上面
[1398.4s-1400.4s] 我们才能去看
[1400.4s-1401.4s] 到底有没有板块
[1401.4s-1404.4s] 是真的能够逆势硬的
[1404.4s-1405.4s] 那么硬的这个板块
[1405.4s-1406.4s] 很有机会
[1406.4s-1408.4s] 会成为接下来
[1409.4s-1410.4s] 接下来
[1410.4s-1411.4s] 住双头也好
[1411.4s-1412.4s] 还是说
[1412.4s-1413.4s] 还有五阶段的
[1413.4s-1414.4s] 主声浪也好
[1414.4s-1415.4s] 他就会成为
[1415.4s-1417.4s] 新的主线方向
[1417.4s-1418.4s] 但是在这一次
[1418.4s-1419.4s] 跟我们上一次
[1419.4s-1421.4s] 有一个质的区别
[1421.4s-1422.4s] 在这一个二阶段
[1422.4s-1423.4s] 我告诉你们
[1423.4s-1424.4s] 一件事情是不简单
[1425.4s-1426.4s] 咱们做一个
[1426.4s-1429.4s] 平移倉位的动作
[1430.4s-1433.6s] 对吧
[1433.6s-1435.6s] 我们叫做不简单
[1435.6s-1436.6s] 只给大家一个
[1436.6s-1439.6s] 平移倉位的动作
[1439.6s-1441.6s] 但是在这个阶段
[1441.6s-1442.6s] 我就没有跟你们说
[1442.6s-1443.6s] 不简单
[1443.6s-1444.6s] 这里是我们框框简单
[1444.6s-1446.6s] 接下来去等待着
[1446.6s-1447.6s] 四阶段
[1447.6s-1448.6s] 旅游不要去旅游
[1448.6s-1450.6s] 四阶段没有那么久的
[1450.6s-1451.6s] 四阶段没有那么久的
[1451.6s-1453.6s] 先不要去旅游
[1453.6s-1455.6s] 那先还不能去旅游
[1455.6s-1456.6s] 好吧
[1456.6s-1457.6s] 那么四阶段
[1457.6s-1458.6s] 我们去静静的去
[1458.6s-1460.6s] 等一下四阶段的修整期
[1460.6s-1462.6s] 大概是五到十天
[1463.6s-1464.6s] 大概是五到十天
[1464.6s-1466.6s] 我们在五到十天里面
[1466.6s-1467.6s] 看看能不能再走
[1467.6s-1468.6s] 五阶段的主声浪
[1468.6s-1469.6s] 有没有可能走
[1469.6s-1470.6s] 五阶段主声浪
[1470.6s-1471.6s] 也是可以的
[1471.6s-1472.6s] 也是可以的
[1472.6s-1473.6s] 好
[1473.6s-1474.6s] 我们去静静的去
[1474.6s-1476.6s] 等待他就好了
[1476.6s-1477.6s] OK
[1477.6s-1478.6s] 五到十天
[1478.6s-1479.6s] 时间我们去看看
[1479.6s-1483.0s] 好
[1483.0s-1484.0s] 那么这是我们
[1484.0s-1486.0s] 把指数这一块讲明白
[1486.0s-1488.0s] 大环境这一块讲明白
[1488.0s-1489.0s] 操作层面
[1489.0s-1491.0s] 从环境则实的角度来说
[1491.0s-1492.0s] 讲明白
[1492.0s-1495.0s] 这个阶段和上一个阶段的区别
[1495.0s-1496.0s] 讲明白了
[1496.0s-1497.0s] 那么今天相当于
[1497.0s-1499.0s] 是我们落带为安的
[1500.0s-1501.0s] 使节节点
[1502.0s-1503.0s] 落带一大部分仓位
[1503.0s-1504.0s] 你留个四层仓位
[1504.0s-1505.0s] 没有任何问题
[1506.0s-1507.0s] 毕竟
[1507.0s-1508.0s] 我们的市场
[1508.0s-1509.0s] 还没有出现空字
[1510.0s-1512.0s] 因为我们的清仓信号是什么
[1512.0s-1513.0s] 是空
[1514.0s-1515.0s] 当我们出现
[1515.0s-1517.0s] 空的时候
[1517.0s-1519.6s] 对吧
[1519.6s-1521.6s] 当我们出现空的时候
[1522.6s-1524.6s] 就是真正的清仓
[1524.6s-1526.6s] 而现在是属于把仓位
[1526.6s-1529.6s] 降到四层仓位
[1529.6s-1531.6s] 以下
[1531.6s-1534.0s] OK
[1535.0s-1536.0s] 懂了
[1536.0s-1537.0s] 懂了
[1537.0s-1538.0s] 明白了
[1538.0s-1539.0s] 都听懂了
[1539.0s-1540.0s] 然后之前
[1540.0s-1541.0s] 我跟大家一个约定了
[1542.0s-1543.0s] 前面行情好
[1543.0s-1544.0s] 我知道你们都赚了钱
[1544.0s-1546.0s] 甚至很多人都赚了很多
[1546.0s-1547.0s] 我就要看看
[1547.0s-1549.0s] 到五月底的时候
[1549.0s-1551.0s] 能留住多少钱
[1551.0s-1553.0s] 反正后面也要开线下会
[1554.0s-1556.0s] 我会真实的看看
[1556.0s-1557.0s] 有几个粉丝
[1557.0s-1558.0s] 到底是个什么情况
[1558.0s-1559.0s] 好吧
[1559.0s-1561.0s] 那么也提前给你们一个好消息
[1561.0s-1563.0s] 本周六
[1563.0s-1564.0s] 开始
[1564.0s-1568.3s] 抢我们线下聚餐的门票
[1568.3s-1569.3s] 好吧
[1569.3s-1571.3s] 到时候我们安排个
[1571.3s-1572.3s] 逼格比较高的地方
[1572.3s-1573.3s] 大家一起吃吃饭
[1573.3s-1574.3s] 下午我们一起
[1574.3s-1576.3s] 大概率反正下午就是
[1576.3s-1578.3s] 反正先不跟你们透露吧
[1578.3s-1580.3s] 会有很多的惊喜
[1580.3s-1581.3s] 会有很多的惊喜
[1581.3s-1583.3s] 基本上就是
[1583.3s-1585.3s] 一天时间大家
[1585.3s-1587.3s] 学习成长
[1587.3s-1589.3s] 加上吃饭小酌
[1589.3s-1591.3s] 加上开心开心
[1591.3s-1592.3s] 好吧
[1593.3s-1594.3s] 能懂吧
[1594.3s-1595.3s] 能懂吧
[1596.3s-1597.3s] 周天晚上
[1597.3s-1598.3s] 到时候反正
[1598.3s-1599.3s] 人数肯定是要限制的
[1599.3s-1600.3s] 到时候
[1600.3s-1601.3s] 反正你们自己抢
[1601.3s-1602.3s] 能抢到就抢
[1603.3s-1604.3s] 这算是
[1605.3s-1606.3s] 我们这边
[1606.3s-1607.3s] 第一次办线下会
[1607.3s-1608.3s] 第一次办界面会
[1613.5s-1615.5s] 还在傻傻的等空没检测
[1616.5s-1617.5s] 这个话题其实我
[1617.5s-1618.5s] 昨天也跟你们讲过
[1618.5s-1619.5s] 就是
[1619.5s-1620.5s] 很多我说过
[1620.5s-1622.5s] 盘中去看
[1622.5s-1623.5s] AI
[1623.5s-1624.5s] 票
[1624.5s-1626.5s] 大部分60%的标的
[1626.5s-1627.5s] 已经出现了信号
[1627.5s-1628.5s] 出现大面
[1628.5s-1629.5s] 这项能力
[1629.5s-1631.5s] 未必所有的粉丝都能做得到
[1632.5s-1633.5s] 能懂吗
[1633.5s-1634.5s] 未必所有的粉丝
[1634.5s-1635.5s] 都能做得到
[1635.5s-1637.5s] 但是有一部分粉丝做不到
[1637.5s-1638.5s] 那也不要去纠结
[1638.5s-1639.5s] 毕竟你赚了那么多钱了
[1640.5s-1642.5s] 很多人就是有点
[1642.5s-1643.5s] 就我跟你们说
[1643.5s-1645.5s] 我们直播间的人不要太飘
[1646.5s-1648.5s] 这个飘有点不太好
[1649.5s-1651.5s] 人性的贪婪有的时候是
[1651.5s-1653.5s] 很可怕的
[1653.5s-1655.7s] 能懂吗
[1655.7s-1657.7s] 人性的贪婪
[1657.7s-1660.7s] 有的时候是很可怕的
[1661.7s-1662.7s] 总想幻想
[1662.7s-1663.7s] 卖在最高点
[1663.7s-1664.7s] 赐高点
[1664.7s-1665.7s] 这种
[1665.7s-1666.7s] 这种思维不要有
[1667.7s-1669.7s] 这一波已经赚了那么多了
[1669.7s-1670.7s] 最后我跟你们说过
[1670.7s-1672.7s] 所有人都要大大方方的
[1672.7s-1673.7s] 还给市场一点
[1675.7s-1677.7s] 老大说的对最近挣钱了
[1677.7s-1678.7s] 感觉太简单了
[1678.7s-1679.7s] 思想上松懈了
[1680.7s-1682.7s] 我知道你们思想上肯定松懈了
[1682.7s-1686.2s] 我知道你们思想上肯定松懈了
[1686.2s-1688.2s] 有些粉丝都漂的一塌糊涂
[1688.2s-1690.8s] 但是还好
[1690.8s-1692.8s] 你飘又怎么样
[1692.8s-1693.8s] 我退一万步说
[1693.8s-1694.8s] 你飘了
[1694.8s-1695.8s] 我们的标的
[1697.8s-1698.8s] 我们三个标的
[1698.8s-1700.8s] 今天你也就
[1700.8s-1701.8s] 哪怕你贫铺的
[1701.8s-1702.8s] 三层标
[1702.8s-1703.8s] 三层标
[1703.8s-1704.8s] 三层标
[1704.8s-1705.8s] 今天你也就亏四个点
[1705.8s-1706.8s] 三层标的四个点
[1707.8s-1708.8s] 三层标的四个点
[1708.8s-1710.8s] 总仓位也就亏1.2个点
[1710.8s-1711.8s] 怎么了
[1711.8s-1715.6s] 允许你飘五分钟
[1715.6s-1716.6s] 怎么了
[1716.6s-1717.6s] 今天指数大跌
[1719.6s-1720.6s] AI科技大跌
[1720.6s-1721.6s] 我们手上三个票
[1721.6s-1722.6s] 三花
[1722.6s-1723.6s] 德明利
[1723.6s-1724.6s] 海光
[1724.6s-1725.6s] 又怎么样
[1725.6s-1726.6s] 今天亏四个点
[1726.6s-1727.6s] 你是
[1727.6s-1728.6s] 三层标
[1728.6s-1729.6s] 三层标的
[1729.6s-1730.6s] 综合回撤1.2个点
[1730.6s-1731.6s] 怎么了
[1732.6s-1734.6s] 允许你飘
[1734.6s-1735.6s] 可以飘
[1735.6s-1736.6s] 好吧
[1736.6s-1737.6s] 但只允许飘五分钟
[1737.6s-1738.6s] 五分钟以后就不允许了
[1742.5s-1743.5s] 对不对
[1743.5s-1745.5s] 这惨的是外面的人
[1745.5s-1746.5s] 又不是我们
[1746.5s-1747.5s] 我们有一个标的
[1747.5s-1748.5s] 今天涨了六个点
[1749.5s-1750.5s] 我们这已经
[1750.5s-1752.5s] 哪怕你在尾盘卖
[1752.5s-1753.5s] 也就可以
[1753.5s-1754.5s] 你早上卖
[1754.5s-1756.5s] 你今天还能挣钱
[1756.5s-1759.2s] 是不是
[1759.2s-1761.2s] 那有什么办法呢
[1761.2s-1762.2s] 谁叫我运气
[1762.2s-1763.2s] 比你们好一点
[1763.2s-1764.2s] 选的票
[1764.2s-1765.2s] 城主芯片的票
[1765.2s-1766.2s] 选择的票
[1766.2s-1769.6s] 确实会强一点的
[1769.6s-1770.6s] 是不是
[1770.6s-1772.6s] 你今天还是红的很优秀
[1772.6s-1773.6s] 对不对
[1773.6s-1775.6s] 今天我占四个点
[1775.6s-1776.6s] 我没飘
[1776.6s-1780.3s] 可以
[1780.3s-1782.3s] 是不是
[1782.3s-1783.3s] 所以说
[1783.3s-1784.3s] 所以说
[1784.3s-1786.3s] 只能说我们新一军
[1786.3s-1788.3s] 运气就是这么好
[1788.3s-1790.3s] 我们运气就是这么好
[1790.3s-1791.3s] 大跌的时候
[1791.3s-1792.3s] 有一个票
[1792.3s-1793.3s] 还好涨了六个点
[1793.3s-1795.3s] 对吧
[1795.3s-1796.3s] 对吧
[1796.3s-1798.3s] 票五分钟不回来了
[1798.3s-1800.8s] OK
[1800.8s-1802.8s] 那么一点问题都没有
[1802.8s-1803.8s] 幸运女神
[1803.8s-1805.8s] 还是站在我们这一边
[1805.8s-1806.8s] 得命力重仓的
[1806.8s-1807.8s] 今天红的比较多
[1807.8s-1808.8s] 你太过分了
[1808.8s-1809.8s] 行行行
[1809.8s-1810.8s] 可以
[1810.8s-1811.8s] 好
[1811.8s-1813.8s] 这个话题我们就跳过
[1813.8s-1815.8s] 来
[1815.8s-1817.8s] 我们有票的资本
[1817.8s-1818.8s] 来
[1818.8s-1819.8s] 那么指数环境
[1819.8s-1821.8s] 跟大家已经讲完了
[1821.8s-1822.8s] 那么我们的策略
[1822.8s-1823.8s] 来来来
[1823.8s-1824.8s] 我一直跟大家讲过
[1824.8s-1826.8s] 战略层面来说
[1826.8s-1828.8s] 我们非常明确
[1828.8s-1829.8s] 战略
[1829.8s-1830.8s] 这个月四十个点
[1830.8s-1831.8s] 我没票
[1831.8s-1832.8s] 可以可以
[1832.8s-1833.8s] 战略层面来说
[1833.8s-1834.8s] 我们非常明确
[1834.8s-1835.8s] 我就不重复了
[1835.8s-1836.8s] 这一个阶段
[1836.8s-1837.8s] 跟上一个阶段不一样
[1837.8s-1838.8s] 上一个阶段是满仓
[1838.8s-1839.8s] 我们是平仪仓位
[1839.8s-1840.8s] 这一个阶段
[1840.8s-1842.8s] 我们是实实在在的检仓
[1842.8s-1843.8s] 有我朋友圈的人
[1843.8s-1844.8s] 是十点四四就减了
[1844.8s-1846.8s] 哪怕没有朋友圈的人
[1846.8s-1847.8s] 到下午你总能看明白了吧
[1847.8s-1849.8s] 市场已经
[1849.8s-1851.8s] AI已经变成重灾区了
[1851.8s-1853.8s] AI已经变成重灾区了
[1853.8s-1854.8s] 哪怕不行
[1854.8s-1855.8s] 明天走也行
[1855.8s-1858.8s] 最后赚了那么多钱了
[1858.8s-1861.8s] 要还给市场些
[1861.8s-1862.8s] OK
[1862.8s-1863.8s] 好这是第1个
[1863.8s-1864.8s] 第2个
[1864.8s-1866.8s] 第2个超短这边
[1866.8s-1868.8s] 昨天跟大家讲过的
[1868.8s-1869.8s] 第一
[1869.8s-1872.8s] 太子老皇帝新皇帝
[1872.8s-1873.8s] 还有我们的丞相
[1873.8s-1874.8s] 我跟你们讲过
[1874.8s-1876.8s] 短线照理来说
[1876.8s-1877.8s] 要走出来
[1877.8s-1878.8s] 有一个核心标准是什么
[1878.8s-1879.8s] 少能股份
[1879.8s-1880.8s] 要大单一字
[1880.8s-1881.8s] 这句话还记得吗
[1881.8s-1882.8s] 原话
[1882.8s-1884.8s] 太子作为
[1884.8s-1887.8s] 昨天最强的阵业
[1887.8s-1888.8s] 对不对
[1888.8s-1890.8s] 太子这个月赚了102%
[1890.8s-1892.8s] 可以可以
[1892.8s-1894.8s] 就是太子作为最强的阵业
[1894.8s-1899.5s] 今天早上都没有大单一字
[1899.5s-1900.5s] 这不很明显的吗
[1900.5s-1902.5s] 超短强手肯定没问题吗
[1902.5s-1903.5s] 没有大单一字
[1903.5s-1905.5s] 你就找卖点的
[1905.5s-1906.5s] 等到他炸板
[1906.5s-1908.5s] 黄泄的那一刻
[1908.5s-1909.5s] 就按一键清蒼
[1909.5s-1913.7s] 是不是
[1913.7s-1916.7s] 当少能没有大单一字
[1916.7s-1917.7s] 那这个节点你不可能去卖
[1917.7s-1919.7s] 但肯定没有开仓的机会了
[1919.7s-1920.7s] 超短强手
[1920.7s-1921.7s] 我再说超短强手
[1921.7s-1922.7s] 那么等到少能
[1922.7s-1925.7s] 啪一下子裂开以后没有回锋
[1925.7s-1926.7s] 这个节点
[1926.7s-1927.7s] 就是所有的电力票
[1927.7s-1928.7s] 不管是鞋星也好
[1928.7s-1929.7s] 不管是龙头也好
[1929.7s-1930.7s] 都是卖点
[1930.7s-1931.7s] 都可以去走的
[1931.7s-1932.7s] 你留着干嘛
[1932.7s-1936.0s] 超短上面的思维
[1936.0s-1937.0s] 这个是比较明确的
[1937.0s-1938.0s] 那么当然
[1938.0s-1939.0s] 我们的软件票
[1939.0s-1940.0s] 昨天跟你们讲过了
[1940.0s-1941.0s] 我跟你们讲过
[1941.0s-1943.0s] 少能今天有高一价
[1943.0s-1946.0s] 要相信我说的
[1946.0s-1948.0s] 一般情况下面
[1948.0s-1950.0s] 我对于溢价的预判
[1950.0s-1952.0s] 成功率基本上在80%
[1952.0s-1954.0s] 是有的
[1954.0s-1955.0s] 我跟你们讲过
[1955.0s-1956.0s] 少能有溢价就会
[1956.0s-1957.0s] 不是少能那个
[1957.0s-1959.0s] 鞋星有溢价就会有溢价
[1959.0s-1961.0s] 少能有人会去顶一字
[1961.0s-1962.0s] 就会有人会去顶一字
[1962.0s-1964.0s] 但是今天有一点傻逼的是
[1964.0s-1965.0s] 有人去顶龙头的一字
[1965.0s-1968.5s] 就你们懂吗
[1968.5s-1970.5s] 今天电力板块
[1970.5s-1971.5s] 其实今天板块
[1971.5s-1972.5s] 也有点烦人的地方
[1972.5s-1973.5s] 就是我看到
[1973.5s-1975.5s] 有人去顶最高标的一字
[1975.5s-1976.5s] 就有点烦
[1976.5s-1978.5s] 这往往就不是什么好事情
[1978.5s-1979.5s] 往往就不是什么好事情
[1979.5s-1982.5s] 你说这种去顶最高标的一字干吗
[1982.5s-1984.5s] 就没有完全没有这个必要
[1986.5s-1987.5s] 来
[1987.5s-1988.5s] 那么
[1988.5s-1989.5s] 昨天跟大家讲过的
[1989.5s-1990.5s] 鞋星能科
[1990.5s-1992.5s] 这个标记今天肯定有溢价
[1992.5s-1993.5s] 今天卖点
[1993.5s-1995.5s] 基本上就在这个位置卖点
[1995.5s-1996.5s] 这个位置就是
[1996.5s-1998.5s] 少能股份炸板的点
[1998.5s-1999.5s] 那么基本上卖到
[1999.5s-2000.5s] 6个点左右也差不多了
[2000.5s-2001.5s] 或者你这里没卖
[2001.5s-2003.5s] 后面回归军线的左右去卖也行
[2003.5s-2005.5s] 这个标记赚11个点
[2005.5s-2006.5s] 那么东方电器
[2006.5s-2007.5s] 今天微亏
[2007.5s-2008.5s] 微亏一点点
[2008.5s-2010.5s] 15分钟上不了水
[2010.5s-2011.5s] 一直上不了军线
[2011.5s-2012.5s] 你就卖掉
[2012.5s-2013.5s] 卖掉微亏一个点
[2013.5s-2014.5s] 综合
[2014.5s-2017.5s] 昨天的标记落带9到10个点
[2018.5s-2019.5s] 舒服吧
[2019.5s-2020.5s] 软件牛逼吧
[2020.5s-2022.5s] 今天行情差
[2022.5s-2025.5s] 软件的标记今天是亏钱的
[2025.5s-2027.5s] 今天是亏钱的
[2027.5s-2028.5s] 很正常
[2028.5s-2029.5s] 这种环境
[2029.5s-2030.5s] 你想要软件赚钱
[2030.5s-2031.5s] 那么AI也是
[2031.5s-2033.5s] AI也是概率
[2034.5s-2035.5s] 对吧
[2035.5s-2036.5s] 今天他选的方向
[2036.5s-2037.5s] 其实今天早上
[2037.5s-2039.5s] 9点40分
[2039.5s-2040.5s] 其实还有一个原因
[2040.5s-2041.5s] 就是我看到10点半
[2041.5s-2042.5s] 当然我会看
[2042.5s-2043.5s] AI的核心标记
[2043.5s-2044.5s] 还有一个原因
[2044.5s-2045.5s] 你们发现没有
[2045.5s-2046.5s] 今天早上9点40分
[2046.5s-2047.5s] 8推出来的时候
[2047.5s-2049.5s] 我看到推的是有色
[2049.5s-2050.5s] 我今天就
[2050.5s-2051.5s] 脑袋里面
[2051.5s-2052.5s] 第一个
[2052.5s-2053.5s] 你们懂吗
[2053.5s-2056.1s] 就有点慌了
[2056.1s-2057.1s] 就本来今天的
[2057.1s-2058.1s] 盘面就有点差
[2058.1s-2059.1s] 再加上AI软件
[2059.1s-2061.1s] 今天弹出来的标记是有色
[2061.1s-2063.1s] 我就感觉有点慌
[2063.1s-2064.1s] 看到10点慢以后
[2064.1s-2065.1s] 我就觉得
[2065.1s-2066.1s] 不对了
[2066.1s-2068.1s] 要撤退了
[2068.1s-2069.1s] 所以我跟你们说
[2069.1s-2071.1s] 软件推的板块
[2071.1s-2073.1s] 有的时候真的要去注意一下的
[2073.1s-2074.1s] 结合起来看
[2074.1s-2075.1s] 你就会发现了
[2075.1s-2076.1s] 我操你今天给我推
[2076.1s-2077.1s] 有色防手板块
[2077.1s-2078.1s] 然后AI标记
[2078.1s-2079.1s] 有死地踏糊涂
[2079.1s-2080.1s] 10点半那个时候
[2080.1s-2081.1s] 感觉是越来越博妙
[2081.1s-2082.1s] 越来越博妙
[2083.1s-2084.1s] 是吧
[2084.1s-2088.4s] 所以软件的功能是很多的
[2088.4s-2090.4s] 每次推冷门板块
[2090.4s-2091.4s] 不敢买
[2091.4s-2092.4s] 很容易坏事
[2092.4s-2093.4s] 这也是一个策略
[2093.4s-2095.4s] 倒也没有什么大问题
[2096.4s-2097.4s] 倒也没有什么大问题
[2097.4s-2099.4s] 这是我们软件
[2099.4s-2101.4s] 这一段时间以来
[2101.4s-2102.4s] 终于亏钱了
[2102.4s-2103.4s] 我用一句
[2103.4s-2104.4s] 终于
[2104.4s-2106.4s] 软件这10天时间里面
[2106.4s-2108.4s] 赚了70个点都有
[2108.4s-2109.4s] 那么今天
[2109.4s-2110.4s] 回测一点
[2110.4s-2111.4s] 8个点
[2111.4s-2112.4s] 但是
[2112.4s-2114.4s] 咱还是要说一句话
[2114.4s-2115.4s] 但是
[2115.4s-2117.4s] 明天你怎么知道
[2117.4s-2118.4s] 这里的标记
[2118.4s-2119.4s] 就一定不会有机会
[2119.4s-2120.4s] 给我们减点亏
[2121.4s-2122.4s] 不好说
[2122.4s-2123.4s] 不好说
[2123.4s-2124.4s] 如果明天AI科技继续调整
[2124.4s-2125.4s] 这些板块
[2125.4s-2128.4s] 明天应该就有机会反抽
[2129.4s-2131.4s] 明天就应该有机会反抽
[2132.4s-2135.3s] 能懂吗
[2135.3s-2138.7s] 同样的策略
[2139.7s-2140.7s] OK
[2140.7s-2141.7s] 那么我们很客观的
[2141.7s-2143.7s] 分享我们的胜利培率
[2144.7s-2145.7s] 我只能说
[2145.7s-2146.7s] 这一波
[2146.7s-2147.7s] 主声浪
[2147.7s-2148.7s] 咱们就是完美
[2149.7s-2150.7s] 三阶段
[2150.7s-2151.7s] 完美
[2151.7s-2152.7s] 收官
[2152.7s-2153.7s] 那么当然有一些新粉进来的
[2153.7s-2155.7s] 无论你是一个礼拜的新粉
[2155.7s-2156.7s] 两个礼拜的新粉
[2156.7s-2157.7s] 还是一个月以内的新粉
[2157.7s-2158.7s] 一个月以内的还好
[2158.7s-2159.7s] 一个礼拜
[2159.7s-2160.7s] 两个礼拜的新粉
[2160.7s-2161.7s] 你不用着急
[2161.7s-2162.7s] 我跟你们讲过了
[2162.7s-2164.7s] 人生最大的焦虑是
[2164.7s-2166.7s] 未来不知道怎么挣钱
[2166.7s-2169.7s] 有了这实战的爱丽来
[2170.7s-2171.7s] 我们直播间的老粉
[2171.7s-2172.7s] 那么你就抠一下
[2172.7s-2174.7s] 这一波主声浪
[2174.7s-2175.7s] 4月1号开始
[2175.7s-2176.7s] 到现在
[2176.7s-2177.7s] 赚了多少钱
[2177.7s-2178.7s] 你们公平上面打出来
[2178.7s-2180.7s] 给我们新粉一点信心
[2180.7s-2182.7s] 因为你们是他们的榜样
[2183.7s-2184.7s] 他们其实看
[2184.7s-2185.7s] 最终去看
[2185.7s-2186.7s] 只能看三个维度
[2186.7s-2187.7s] 第一
[2187.7s-2188.7s] 看我牛不牛逼
[2188.7s-2189.7s] 第二
[2189.7s-2190.7s] 看软件牛不牛逼
[2190.7s-2191.7s] 因为这些
[2191.7s-2192.7s] 他们可以用数据
[2192.7s-2193.7s] 自己去统计
[2193.7s-2194.7s] 第三
