[6.6s-14.9s] 来晚上好
[1417.9s-1419.9s] 它把整个刺青骨板块都带起来了
[1419.9s-1421.9s] 把整个刺青骨板块都带起来
[1421.9s-1422.9s] 很多个骨
[1422.9s-1425.9s] 这一轮你说真正意义上面的绝对的
[1425.9s-1426.9s] 龙头
[1426.9s-1428.9s] 只能说是大谱
[1428.9s-1429.9s] 只能说是大谱了
[1429.9s-1430.9s] 那么今天也停盘了
[1430.9s-1432.9s] 很多人在说
[1432.9s-1433.9s] OK
[1433.9s-1434.9s] 好
[1434.9s-1437.9s] 那么这次我们对于整个指数
[1437.9s-1438.9s] 板块
[1438.9s-1440.9s] 以及市场审美
[1440.9s-1442.9s] 我们做的一个定性
[1442.9s-1445.9s] 做的一个定性
[1445.9s-1446.9s] 来
[1446.9s-1448.9s] 那么接下来
[1448.9s-1450.9s] 接下来我们来稍微来看一下板块
[1450.9s-1458.2s] 稍微来看一下板块
[1458.2s-1460.2s] 稍微来看一下板块
[1460.2s-1468.7s] 省掉从高到地盘
[1468.7s-1470.7s] 市场资金还是非常明显的
[1470.7s-1472.7s] 还是解冲在芯片算力
[1472.7s-1473.7s] 机器人芯片算力
[1473.7s-1474.7s] 只不过是机器人
[1474.7s-1476.7s] 你们会发现越来越靠钱了
[1476.7s-1478.7s] 只不过你们会发现
[1478.7s-1480.7s] 机器人越来越靠钱了
[1480.7s-1482.7s] 今天早上的盘面
[1482.7s-1483.7s] 今天早上的盘面
[1483.7s-1485.7s] 很多人看了我的朋友圈
[1485.7s-1488.7s] 心中可能有一些疑惑
[1488.7s-1490.7s] 那么昨天在分享盘面的时候
[1490.7s-1492.7s] 我把一个点给漏掉了
[1492.7s-1494.7s] 有一个消息面的事情给漏掉了
[1494.7s-1498.0s] 消息面上
[1498.0s-1499.0s] 昨天是有一个
[1499.0s-1501.0s] 吵得沸沸哑哑的一个消息
[1501.0s-1502.0s] 大部分人都刷到了
[1502.0s-1503.0s] 但是我昨天直播间
[1503.0s-1504.0s] 没有跟大家讲
[1504.0s-1506.0s] 也就是长新科技
[1506.0s-1508.0s] 业绩暴增
[1508.0s-1510.0s] 那么市场普遍对于
[1510.0s-1512.0s] 它的一个预期是
[1512.0s-1515.0s] 有5万亿的估值
[1515.0s-1518.0s] 它的年收益近利润
[1518.0s-1521.0s] 应该会到1200亿左右
[1521.0s-1524.0s] 会到1200亿左右
[1524.0s-1526.0s] 那么因为这个消息的刺激
[1526.0s-1529.0s] 我们会在早上看到一个现象
[1529.0s-1535.0s] 但凡跟我们的长新科技相关的
[1535.0s-1537.0s] 但凡跟我们长新科技相关的
[1537.0s-1539.0s] 这些标的
[1539.0s-1540.0s] 对吧
[1540.0s-1544.0s] 今天都会走得比较强
[1545.0s-1546.0s] 尤其是你们会看到
[1546.0s-1548.0s] 有一个标
[1548.0s-1551.0s] 一字板进价开出来
[1551.0s-1552.0s] 封单量90个亿
[1552.0s-1554.0s] 这个标记叫河肥陈建
[1554.0s-1555.0s] 它算是一个
[1555.0s-1558.0s] 这个概念里面的一个情绪风向标
[1558.0s-1559.0s] 它的90多个亿就直接
[1559.0s-1561.0s] 奠定了早上进攻方向
[1561.0s-1563.0s] 视往这个方向去进攻
[1563.0s-1564.0s] 那么早上
[1564.0s-1566.0s] 我跟大家分享的那个朋友圈
[1566.0s-1570.0s] 是对于长新科技的一个
[1570.0s-1572.0s] 就是一个运气
[1572.0s-1574.0s] 市场对于它的一个普遍运气
[1574.0s-1576.0s] 看接下来市场
[1576.0s-1578.0s] 认不认它的上市时间
[1578.0s-1580.0s] 应该基本上在七八月份
[1580.0s-1582.0s] 应该基本上在七八月份
[1582.0s-1587.2s] 然后这里核心的逻辑是什么
[1587.2s-1590.2s] 这里核心的逻辑是什么
[1590.2s-1592.2s] 首先第一个
[1592.2s-1594.2s] 首先第一个市场
[1594.2s-1596.2s] 还是对半导体芯片
[1596.2s-1597.2s] 纯属芯片
[1597.2s-1599.2s] 保持一个热度
[1599.2s-1600.2s] 只有这个方向
[1600.2s-1601.2s] 一阶段过来
[1601.2s-1602.2s] 二阶段过来
[1602.2s-1603.2s] 三阶段过来
[1603.2s-1604.2s] 哪怕到四阶段
[1604.2s-1605.2s] 它都是最扛跌的
[1605.2s-1607.2s] 这是一个大的逻辑
[1607.2s-1608.2s] 第二
[1608.2s-1610.2s] 我们整体的指数
[1610.2s-1612.2s] 环境指数择拾系统
[1612.2s-1614.2s] 在多空
[1614.2s-1616.2s] 在多空这根线之上
[1616.2s-1617.2s] 那么环境加上
[1617.2s-1619.2s] 这个允许我们有四层舱
[1619.2s-1621.2s] 那么有四层舱的前提下面
[1621.2s-1623.2s] 你说机器人配了两层舱
[1623.2s-1624.2s] 对吧
[1624.2s-1625.2s] 有部分人在三花里面
[1625.2s-1627.2s] 那么还有两层舱
[1627.2s-1628.2s] 所以我今天分享了一个
[1628.2s-1631.2s] 可以到照译里面再去铺一下
[1631.2s-1632.2s] 半导体AI原材料
[1632.2s-1634.2s] AI原材料可能你不是很好找
[1634.2s-1635.2s] 因为像多伏多这种
[1635.2s-1636.2s] 已经涨了不少了
[1636.2s-1637.2s] 周五涨停家
[1637.2s-1639.2s] 现在已经13 4个点了
[1639.2s-1640.2s] 所以涨的有点多
[1640.2s-1642.2s] 那么去配置一点的
[1642.2s-1644.2s] 跟长清科技相关的一些标地
[1644.2s-1645.2s] 也还行
[1645.2s-1648.2s] 反正回测也都能够接受
[1648.2s-1650.2s] 这是一个大的逻辑
[1650.2s-1652.2s] 因为在大的一个环境背景下面
[1652.2s-1654.2s] 然后我们再去通过盘面
[1654.2s-1655.2s] 你们会发现
[1655.2s-1656.2s] 所有的封单里面
[1656.2s-1659.2s] 合肥沉浸这个标地
[1659.2s-1661.2s] 合肥沉浸这个标地
[1661.2s-1662.2s] 大家最大为什么
[1662.2s-1663.2s] 说明市场
[1663.2s-1664.2s] 第一个维度去炒作的
[1664.2s-1666.2s] 还是什么餐骨
[1666.2s-1667.2s] 我记得当时
[1667.2s-1670.2s] 我们炒过一轮叫做摩尔县城
[1670.2s-1671.2s] 你们还记得吗
[1671.2s-1672.2s] 去年炒过摩尔县城
[1672.2s-1675.2s] 摩尔县城最开始炒作的方向
[1675.2s-1677.2s] 市场一开始最认的方向是什么
[1677.2s-1679.2s] 先炒的都是什么
[1679.2s-1682.2s] 先炒的都是什么
[1682.2s-1685.2s] 先炒的都是那个
[1685.2s-1687.2s] 我们叫做餐骨
[1687.2s-1688.2s] 餐骨炒完以后
[1688.2s-1689.2s] 后面炒什么产业链
[1689.2s-1691.2s] 直接受益的产业链
[1691.2s-1692.2s] 当时炒作摩尔县城的
[1692.2s-1693.2s] 炒作地图的时候
[1693.2s-1695.2s] 是这么一个过程
[1695.2s-1698.2s] 是炒作的是这么一个过程
[1698.2s-1699.2s] 那么所以说
[1699.2s-1700.2s] 基于在这样子的行情下面
[1700.2s-1703.2s] 如果有部分人一定要去试措的
[1703.2s-1704.2s] 理论上面这些方向
[1704.2s-1706.2s] 会相对安全一些
[1706.2s-1708.2s] 理论上面会相对安全一些
[1708.2s-1709.2s] 因为你只能通过
[1709.2s-1711.2s] 合肥沉浸去硬设
[1711.2s-1713.2s] 整个市场对于
[1713.2s-1716.2s] 长清科技里面
[1716.2s-1717.2s] 细分里面
[1717.2s-1719.2s] 目前当下来说
[1719.2s-1721.2s] 市场最认的是哪个方向
[1721.2s-1723.2s] 最认的是哪个方向
[1723.2s-1727.2s] 所以给大家分享了这个逻辑
[1727.2s-1729.2s] 分享了这个逻辑
[1729.2s-1730.2s] 那么对于我们来说
[1730.2s-1732.2s] 就是无非是在这里去放点
[1732.2s-1733.2s] 试措仓位
[1733.2s-1734.2s] 可攻可守
[1734.2s-1736.2s] 不行就撤退
[1736.2s-1738.2s] 如果这里能够顺畅的在
[1738.2s-1739.2s] 多空线之上
[1739.2s-1740.2s] 走出了五阶段
[1740.2s-1742.2s] 那么输输服服
[1742.2s-1746.4s] 那么输输服服
[1746.4s-1747.4s] 做好防守就好了
[1747.4s-1748.4s] 这就是也印证了
[1748.4s-1750.4s] 我之前跟你们讲过的一句话
[1750.4s-1752.4s] 叫做边打边撤退
[1752.4s-1756.4s] 边打边撤退
[1756.4s-1757.4s] 对
[1757.4s-1758.4s] 今天四个顶一字的
[1758.4s-1759.4s] 全部都是股权的
[1759.4s-1761.4s] 所以市场是比较明显的
[1761.4s-1764.4s] 它更爱好的就是股权线
[1764.4s-1765.4s] 个人我觉得对于
[1765.4s-1767.4s] 长清存储的炒作
[1767.4s-1769.4s] 我觉得不可能一天就结束
[1769.4s-1771.4s] 实话实说
[1771.4s-1772.4s] 就是消息面是
[1772.4s-1773.4s] 周末出来的
[1773.4s-1774.4s] 但是消息面
[1774.4s-1777.4s] 上面确实是超预期的
[1777.4s-1779.4s] 我们不可否认一件事情是
[1779.4s-1781.4s] 从产业结构也好
[1781.4s-1782.4s] 从净率认也好
[1782.4s-1785.4s] 还是从一个对于我们中国
[1785.4s-1786.4s] 万亿型
[1786.4s-1787.4s] 五万亿
[1787.4s-1788.4s] 如果真能到五万亿
[1788.4s-1790.4s] 对于我们历史上面来说
[1790.4s-1792.4s] 也是一个非常有意义的一件事情
[1792.4s-1794.4s] 所以我觉得这种事件
[1794.4s-1796.4s] 应该不会轻易结束
[1796.4s-1798.4s] 除非指数不行
[1798.4s-1800.4s] 除非指数不行
[1800.4s-1801.4s] 所以对于造业创新
[1801.4s-1803.4s] 这种两三天内不用去管它
[1803.4s-1805.4s] 不用去管它
[1805.4s-1806.4s] 那他先玩一下吧
[1806.4s-1807.4s] 让他先舒服舒服
[1807.4s-1808.4s] 让他先慢慢玩
[1808.4s-1809.4s] 随便他
[1809.4s-1811.4s] 不是特别重要
[1811.4s-1812.4s] 跟他的分属图形
[1812.4s-1813.4s] K线图形这种
[1813.4s-1815.4s] 肯定是没有办法强关系的
[1815.4s-1820.1s] 至少从硬的逻辑来说
[1820.1s-1822.1s] 从环境角度来说
[1822.1s-1824.1s] 你说有试措成本理论上面
[1824.1s-1826.1s] 问题不是特别大
[1826.1s-1827.1s] 那么有部分人
[1827.1s-1829.1s] 还是在三花上面的
[1829.1s-1830.1s] 有部分人还是在
[1830.1s-1831.1s] 三花上面的三花
[1831.1s-1832.1s] 这种
[1832.1s-1833.1s] 现在就非常明确了
[1833.1s-1834.1s] 基本上就是
[1834.1s-1835.1s] 五日线不破
[1835.1s-1836.1s] 你不用走
[1836.1s-1837.1s] 机器人本来就是
[1837.1s-1838.1s] 最强的承接方向
[1838.1s-1840.1s] 在这个乱世当中
[1840.1s-1841.1s] 在这个乱世当中
[1841.1s-1843.1s] 他也算是机器人
[1843.1s-1844.1s] 今天也是OK的
[1844.1s-1846.1s] 下午又起来了
[1846.1s-1847.1s] 对吧
[1847.1s-1848.1s] 目前来说整个机器人
[1848.1s-1849.1s] 我昨天跟你们讲过
[1849.1s-1850.1s] 你不能只硬一天
[1850.1s-1851.1s] 周五硬了一天
[1851.1s-1852.1s] 但是你不能说
[1852.1s-1853.1s] 今天就废了
[1853.1s-1854.1s] 但你会发现
[1854.1s-1856.1s] 今天整个机器人板块
[1856.1s-1857.1s] 并没有废
[1857.1s-1858.1s] 并没有废
[1858.1s-1859.1s] 所以有部分人
[1859.1s-1860.1s] 在三花里面
[1860.1s-1861.1s] 问了一个问题说
[1861.1s-1862.1s] 五日线不破
[1862.1s-1863.1s] 是不是不用走
[1863.1s-1864.1s] 这个完全没有任何问题
[1864.1s-1866.1s] 完全没有任何问题
[1866.1s-1867.1s] 那么基本上
[1867.1s-1868.1s] 大家的布局
[1868.1s-1869.1s] 还是比较听话的
[1869.1s-1871.1s] 在我说的方向里面
[1871.1s-1872.1s] 对吧
[1872.1s-1873.1s] 机器人跟
[1873.1s-1875.1s] 机器人跟半导体
[1875.1s-1877.1s] 无论你是拿的是原材料
[1877.1s-1878.1s] 还是半导体设备
[1878.1s-1879.1s] 还是纯粹芯片
[1879.1s-1881.1s] 还是跟长芯科技相关的标的
[1881.1s-1882.1s] 就还算是
[1882.1s-1884.1s] 大家还是比较听话的
[1884.1s-1886.1s] 那么我们在大的框架里面
[1886.1s-1887.1s] 没有变
[1887.1s-1888.1s] 那么心里面上面
[1888.1s-1889.1s] 你就不会坦克
[1889.1s-1893.1s] 而且也就四层倉位
[1893.1s-1895.1s] 能懂吗
[1895.1s-1897.1s] 所以说相当于你是
[1897.1s-1899.1s] 既拿了一个穿越过来的一个板块
[1899.1s-1901.1s] 又拿了一个补展的板块
[1901.1s-1903.1s] 双重保鞋
[1903.1s-1904.1s] 双重保鞋
[1904.1s-1905.1s] 之前就跟大家讲过
[1905.1s-1907.1s] 只要是科技股回调
[1907.1s-1909.1s] 市场最有力能够成绩的方向
[1909.1s-1911.1s] 本来还有个商业航天
[1911.1s-1912.1s] 现在商业航天没了
[1912.1s-1913.1s] 现在就只有机器人
[1913.1s-1914.1s] 对吧
[1914.1s-1915.1s] 只要科技股调整
[1915.1s-1916.1s] 那你的机器人
[1916.1s-1918.1s] 就有机会冲一下
[1918.1s-1920.1s] 科技股进攻
[1920.1s-1921.1s] 无所谓
[1921.1s-1922.1s] 反正手上有一个标的
[1922.1s-1923.1s] 是科技
[1923.1s-1926.1s] 那你就是两个就很稳妥
[1926.1s-1927.1s] 能懂吗
[1927.1s-1929.1s] 所以这就是在防守阶段
[1929.1s-1930.1s] 我们进去干的一件事情
[1930.1s-1931.1s] 我们不是为了
[1931.1s-1932.1s] 一定要赚多少钱
[1932.1s-1933.1s] 在这个阶段
[1933.1s-1934.1s] 核心目标
[1934.1s-1936.1s] 就是为了不亏钱
[1936.1s-1940.1s] 要认清楚自己的能力边界
[1940.1s-1942.1s] 要认清楚自己的能力边界
[1942.1s-1946.5s] 我们这个阶段的目标
[1946.5s-1947.5s] 非常简单
[1947.5s-1948.5s] 在大环境
[1948.5s-1950.5s] 不是特别好的时候
[1950.5s-1951.5s] 在大环境
[1951.5s-1952.5s] 不是特别好的时候
[1952.5s-1954.5s] 大环境不是特别好的时候
[1954.5s-1955.5s] 少亏
[1955.5s-1956.5s] 不亏
[1956.5s-1958.5s] 都是转
[1958.5s-1961.8s] 少亏不亏都是转
[1961.8s-1962.8s] 好
[1962.8s-1963.8s] 那么这是第二件
[1963.8s-1964.8s] 第三件事情
[1964.8s-1965.8s] 讲了一下
[1965.8s-1966.8s] 我们目前手上
[1966.8s-1968.8s] 在关注的标的
[1968.8s-1969.8s] 好
[1969.8s-1970.8s] 第三件事情
[1970.8s-1971.8s] 我们来看一下
[1971.8s-1972.8s] 我们的AI测试
[1972.8s-1973.8s] 那么AI测试
[1973.8s-1974.8s] 我跟大家讲过的
[1974.8s-1975.8s] 因为现在的环境
[1975.8s-1976.8s] 属于四阶段
[1976.8s-1977.8s] 所以总体仓位
[1977.8s-1978.8s] 降到了三层
[1978.8s-1979.8s] 仓位以下去
[1979.8s-1980.8s] 之前我们都是满舱
[1980.8s-1981.8s] 在个股模式里面轮动
[1981.8s-1982.8s] 前面一个阶段
[1982.8s-1983.8s] 也吃饱了
[1983.8s-1984.8s] 也吃饱了
[1984.8s-1986.8s] 个股模式是非常的凶悍
[1986.8s-1987.8s] 非常的凶悍
[1987.8s-1988.8s] 那么这两天
[1988.8s-1989.8s] 整个四阶段
[1989.8s-1991.8s] 本来就比较难做
[1991.8s-1992.8s] 比较难做
[1992.8s-1993.8s] 那么昨天也给大家
[1993.8s-1994.8s] 举了粉丝的案例
[1994.8s-1995.8s] 他是非常的机智
[1995.8s-1996.8s] 仓位一降下来
[1996.8s-1997.8s] 对他来说
[1997.8s-1998.8s] 其实就没有什么
[1998.8s-1999.8s] 太大的伤害
[1999.8s-2000.8s] 那么我们来
[2000.8s-2001.8s] 稍微来看一下
[2001.8s-2002.8s] 个股模式好像
[2002.8s-2003.8s] 昨天的标的表现还不错
[2003.8s-2004.8s] 昨天
[2004.8s-2005.8s] 周五的标的
[2005.8s-2007.8s] 当天我们是亏钱的
[2007.8s-2009.8s] 当天我们是亏钱的
[2009.8s-2010.8s] 当天亏了还不少
[2010.8s-2011.8s] 亏了有7.6
[2011.8s-2012.8s] 当然
[2012.8s-2013.8s] 三层倉位
[2013.8s-2014.8s] 两个标的加起来
[2014.8s-2015.8s] 三层倉位7.6
[2015.8s-2016.8s] 其实没多少点位
[2016.8s-2017.8s] 加起来都
[2017.8s-2021.4s] 两个点的回彻都不到
[2021.4s-2022.4s] 1.5个点
[2022.4s-2023.4s] 274
[2023.4s-2024.4s] 3层倉
[2024.4s-2025.4s] 不对
[2025.4s-2026.4s] 都没有
[2026.4s-2027.4s] 都没有
[2027.4s-2029.4s] 三层倉位
[2029.4s-2031.4s] 14个点
[2031.4s-2033.4s] 三层倉位14个点
[2033.4s-2042.6s] 1.5不到
[2042.6s-2043.6s] 三层倉位
[2043.6s-2044.6s] 8个点
[2044.6s-2045.6s] 对吧
[2045.6s-2046.6s] 三层倉位
[2046.6s-2047.6s] 8个点
[2047.6s-2048.6s] 一个点都不到
[2048.6s-2049.6s] 好
[2049.6s-2050.6s] 今天
[2050.6s-2051.6s] 万万没想到
[2051.6s-2053.6s] 给你赚钱了
[2053.6s-2055.9s] 能懂吗
[2055.9s-2057.9s] 看到没
[2057.9s-2058.9s] 看到没
[2058.9s-2059.9s] 真难
[2059.9s-2060.9s] 软件真牛逼
[2060.9s-2061.9s] 我只能说软件真牛逼
[2061.9s-2062.9s] 牛逼有
[2062.9s-2064.9s] 周五我们两个标记加起来
[2064.9s-2065.9s] 亏8
[2065.9s-2067.9s] 今天亚克
[2067.9s-2068.9s] 下午破版了
[2068.9s-2069.9s] 你卖掉好了
[2069.9s-2070.9s] 对吧
[2070.9s-2071.9s] 涨停了你肯定不会走吗
[2071.9s-2072.9s] 下午破版了
[2072.9s-2073.9s] 你卖掉好了
[2073.9s-2074.9s] 卖个8个点好了
[2074.9s-2075.9s] 也不用卖太多
[2075.9s-2076.9s] 炸版了你卖掉
[2076.9s-2077.9s] 把
[2077.9s-2078.9s] 昨天的
[2078.9s-2079.9s] 周五的亏损
[2079.9s-2080.9s] 全大回来了
[2080.9s-2081.9s] 然后这个句话
[2081.9s-2082.9s] 句话
[2082.9s-2083.9s] 今天整体
[2083.9s-2084.9s] 反正你卖掉的话
[2084.9s-2085.9s] 就按下来的时候卖吧
[2085.9s-2087.9s] 就富二卖
[2087.9s-2089.9s] 所以整体你会发现
[2089.9s-2090.9s] 一搞
[2090.9s-2092.9s] 最后好像也没亏什么钱
[2092.9s-2094.9s] 是不是很客观吗
[2094.9s-2095.9s] 三层倉位
[2095.9s-2096.9s] 哪怕你每个标地
[2096.9s-2098.9s] 1.5层倉
[2098.9s-2099.9s] 对吧
[2099.9s-2100.9s] 或者每个标地
[2100.9s-2101.9s] 一层倉
[2101.9s-2102.9s] 看你们自己
[2102.9s-2103.9s] 反正三层倉位
[2103.9s-2104.9s] 三层倉买了就不买了
[2104.9s-2105.9s] 那你就当1.5层倉
[2105.9s-2106.9s] 1.5层倉
[2106.9s-2107.9s] 总共亏两个点
[2107.9s-2108.9s] 回撤多少
[2108.9s-2109.9s] 所以个股模式
[2109.9s-2110.9s] 它就是这样子的
[2110.9s-2111.9s] 个股模式
[2111.9s-2112.9s] 它就是这样子的
[2114.9s-2115.9s] 所以你们会发现的
[2116.9s-2117.9s] 是不是
[2117.9s-2118.9s] 它就没什么太大的波动
[2120.9s-2121.9s] 没什么太大的波动
[2121.9s-2126.3s] OK
[2126.3s-2127.3s] 那么这是
[2127.3s-2128.3s] 昨天的
[2128.3s-2129.3s] 这是昨天的
[2129.3s-2130.3s] 来我们来看一下
[2130.3s-2131.3s] 今天的
[2131.3s-2132.3s] 今天的也有回撤
[2132.3s-2133.3s] 我也看了一下
[2133.3s-2134.3s] 今天是
[2134.3s-2135.3s] 华宫科技
[2135.3s-2136.3s] 这个标地很不错
[2136.3s-2137.3s] 明天有高一价
[2183.4s-2185.4s] 被弹出来不知道
[2193.9s-2194.9s] 来
[2194.9s-2195.9s] 被弹出来了
[2195.9s-2196.9s] 不好意思
[2197.9s-2198.9s] 那么这是今天的
[2198.9s-2199.9s] 今天华宫科技
[2199.9s-2201.9s] 今天整体有一定的回撤
[2201.9s-2202.9s] 11个点左右的回撤
[2202.9s-2203.9s] 华宫科技
[2203.9s-2204.9s] 今天是涨停的
[2204.9s-2205.9s] 明天有高一价
[2205.9s-2206.9s] 明天我们来看今天的标地
[2206.9s-2207.9s] 反正现在
[2207.9s-2208.9s] 个股模式
[2208.9s-2209.9s] 就控制好三层倉位
[2209.9s-2210.9s] 完美
[2210.9s-2211.9s] 就行了
[2212.9s-2213.9s] 明白吧
[2213.9s-2214.9s] 就三层倉位
[2214.9s-2215.9s] 完美就行了
[2215.9s-2216.9s] 不用去多想
[2216.9s-2219.9s] 不需要你有太多的想法
[2220.9s-2221.9s] 能明白吗
[2221.9s-2222.9s] 就当过渡就完事了
[2222.9s-2223.9s] 前面赚保了
[2223.9s-2225.9s] 现在就是把利润守住
[2225.9s-2229.3s] 这是我们整个个股模式
[2229.3s-2231.3s] 这是我们整个个股模式
[2231.3s-2233.6s] 好
[2233.6s-2234.6s] 那么模式上面
[2234.6s-2235.6s] 我就现在不可能
[2235.6s-2236.6s] 会有主线模式
[2236.6s-2237.6s] 现在不可能会有主线模式
[2237.6s-2238.6s] 这个我们就不去多说了
[2238.6s-2240.6s] ETF这边我就不管了
[2240.6s-2242.6s] ETF这边我就不管了
[2242.6s-2243.6s] 今天有一个粉丝问我
[2243.6s-2244.6s] 那如果我手
[2244.6s-2245.6s] 如果他问我的是
[2245.6s-2247.6s] 如果他手上拿的是
[2247.6s-2248.6s] 半导体ETF
[2248.6s-2250.6s] 那么在周四那一天
[2250.6s-2251.6s] 是不是也该检藏
[2251.6s-2252.6s] 当然一样
[2252.6s-2253.6s] 个股都检藏了
[2253.6s-2254.6s] 你不检藏
[2254.6s-2255.6s] 但是你检藏完之后
[2255.6s-2256.6s] 你说你总共
[2256.6s-2257.6s] 比如说你是满仓
[2257.6s-2259.6s] 买了半导体ETF的
[2259.6s-2261.6s] 在我提醒的那一天
[2261.6s-2262.6s] 周四的那一天
[2262.6s-2263.6s] 10点44分
[2263.6s-2264.6s] 你减了
[2264.6s-2265.6s] 减到了四层倉
[2265.6s-2266.6s] 留四层倉位
[2266.6s-2267.6s] 继续拿着有没有问题
[2267.6s-2268.6s] 当然没有问题
[2268.6s-2269.6s] 你是不是一直在执行
[2269.6s-2273.1s] 模式内的交易
[2273.1s-2274.1s] 是不是能理解吗
[2274.1s-2275.1s] 有部分人不是
[2275.1s-2276.1s] 拿了半导体的
[2276.1s-2277.1s] 半导体的ETF吗
[2277.1s-2278.1s] 或者拿了
[2278.1s-2280.1s] 成储芯片的ETF吗
[2280.1s-2282.1s] 你差不多有30个点左右的利润
[2282.1s-2284.1s] 最差有26个点左右的利润
[2284.1s-2286.1s] 那么半导体的逻辑
[2286.1s-2287.1s] 就是你们永远要理解
[2287.1s-2288.1s] 一件事情
[2288.1s-2289.1s] 环境的检藏
[2289.1s-2290.1s] 包含所有
[2290.1s-2292.1s] 怎么会不包含你的ETF呢
[2293.1s-2295.1s] 怎么会不包含你的ETF呢
[2295.1s-2297.1s] 所以10点
[2297.1s-2299.1s] 周四的10点44分發的
[2299.1s-2301.1s] 当然也涵盖你的ETF
[2301.1s-2303.1s] 怎么会不涵盖你的ETF
[2303.1s-2305.1s] 这个你们要稍微注意一下
[2305.1s-2307.1s] 这个你们要稍微注意一下
[2307.1s-2308.1s] 当然是涵盖的
[2308.1s-2310.1s] 所以以后做ETF的朋友
[2310.1s-2311.1s] 做ETF的铁粉
[2311.1s-2313.1s] 也要知道
[2314.1s-2315.1s] 那么还有一个
[2315.1s-2317.1s] 线下会的事情
[2317.1s-2320.1s] 我昨天基本上给你们讲过了
[2320.1s-2321.1s] 基本上给你们讲过了
[2321.1s-2322.1s] 反正我们就是
[2322.1s-2323.1s] 线下会聚餐
[2323.1s-2325.1s] 从下午开始
[2325.1s-2326.1s] 然后也给你们请了
[2326.1s-2328.1s] 一位神秘大咖
[2328.1s-2330.1s] 也还有一份神秘大礼
[2330.1s-2333.1s] 其他的我就过多讲了
[2333.1s-2336.1s] 大家就是学习好
[2336.1s-2338.1s] 有些东西在直播间
[2338.1s-2340.1s] 可能不能声音去讲的东西
[2340.1s-2341.1s] 线下会我们无所谓
[2341.1s-2342.1s] 因为我们小范围的
[2342.1s-2344.1s] 因为毕竟在直播当中
[2344.1s-2346.1s] 面向的人态度有些
[2346.1s-2348.1s] 我们合规要求还是比较严格
[2348.1s-2350.1s] 合规要求还是比较严格
[2350.1s-2353.1s] 那线下可以更敞开说
[2353.1s-2355.1s] 可以更敞开说
[2355.1s-2357.1s] 那么这是基本上就是
[2357.1s-2359.1s] 我们线下会的一个定机调
[2359.1s-2361.1s] 我们直到晚上才结束
[2361.1s-2362.1s] 饭后再活动一下
[2362.1s-2363.1s] 那么基本上
[2363.1s-2364.1s] 我们就整个一天
[2364.1s-2366.1s] 非常充实的一天
[2366.1s-2370.1s] 那么至于鸣儿的争取
[2370.1s-2372.1s] 他肯定会献鸣儿
[2372.1s-2373.1s] 因为人数有限
[2373.1s-2374.1s] 场地有限
[2374.1s-2376.1s] 到时候反正看大家讲
[2376.1s-2377.1s] 这个先不着急
[2377.1s-2378.1s] 因为还没有
[2378.1s-2380.1s] 现在你们还不用报
[2380.1s-2381.1s] 到时候要报的时候
[2381.1s-2385.1s] 我在直播间会有报名的一个链接
[2385.1s-2387.1s] 你们去登记一下就好
[2387.1s-2389.1s] 你们去登记一下就好
[2389.1s-2391.9s] 到时候登记信息的时候
[2391.9s-2393.9s] 核心一定要把
[2393.9s-2396.9s] 你适合去参加的区域
[2396.9s-2398.9s] 就你能够去参加的几个地方
[2398.9s-2400.9s] 要自己写一下
[2400.9s-2402.9s] 北京 深圳 杭州
[2402.9s-2403.9s] 三个地方
[2403.9s-2404.9s] 你自己写一下
[2404.9s-2405.9s] 哪个地方最方便
[2405.9s-2406.9s] 或者哪几个地方
[2406.9s-2407.9s] 或者是三个地方你都能去
[2407.9s-2408.9s] 那你就写都可以
[2408.9s-2409.9s] 好吧
[2409.9s-2414.0s] 赵毅不就讲完了吗
[2414.0s-2415.0s] 你在听什么
[2415.0s-2421.6s] 在听什么
[2421.6s-2425.5s] 全部人都听到了
[2425.5s-2427.5s] 就你没听到你在听什么
[2427.5s-2434.8s] 每一场都是周六
[2434.8s-2436.8s] 每一场都是周六
[2436.8s-2437.8s] 因为周六是最方便的
[2437.8s-2441.3s] 飞机哪都合适
[2441.3s-2442.3s] 你方便哪里都可以吗
[2442.3s-2443.3s] 最好了对不对
[2443.3s-2446.3s] 那你就是必定想来参加了
[2446.3s-2447.3s] 那很简单的
[2447.3s-2449.3s] 你是不是填三个地方
[2449.3s-2450.3s] 你能够来参加的资格
[2450.3s-2452.3s] 就机会就更大
[2452.3s-2454.3s] 如果你只填一个地方
[2454.3s-2456.3s] 你是不是机会就更小
[2456.3s-2458.3s] 这一定要我给你们分析一下
[2458.3s-2459.3s] 如果你写的是
[2459.3s-2461.3s] 北京 上海 深圳 皆可
[2461.3s-2464.3s] 那你肯定入围的机会就大了呀
[2464.3s-2465.3s] 如果你只写一个地方
[2465.3s-2466.3s] 是不是入围的地方小
[2466.3s-2467.3s] 万一大家
[2467.3s-2469.3s] 一大批人都在杭州
[2469.3s-2470.3s] 还是都在哪里
[2470.3s-2472.3s] 那你是不是入围的机会就少了
[2472.3s-2474.3s] 你位置就这么几个位置
[2474.3s-2477.3s] 位置就这么几个位置
[2477.3s-2478.3s] 能懂了吧
[2478.3s-2480.3s] 一次我们基本上
[2480.3s-2482.3s] 控制在50个人以内
