[0.2s-134.0s] 不必许多过 请你许多 同时不自责
[134.0s-136.6s] 比别的不要强一点点
[1509.2s-1510.8s] 在这一天
[1511.1s-1512.8s] 一颗阴陷以后的第二天
[1513.2s-1515.0s] 也就是在周五这个节点
[1515.6s-1518.0s] 又再次跟你们说
[1518.0s-1519.3s] 现在市场
[1519.7s-1522.4s] 是一分的主线式PCB
[1522.4s-1524.5s] 这次的主线不一样
[1524.5s-1526.0s] PCB比较强悍
[1526.3s-1528.5s] 然后又给大家选到了生意科技
[1528.5s-1530.5s] 目前来说又是最牛逼的标的
[1536.4s-1537.8s] 我用两分钟的时间
[1537.8s-1540.2s] 简短的给我们整个一轮行情
[1540.2s-1541.1s] 做了一个回顾
[1541.1s-1543.2s] 你们听上去好像好简单
[1544.6s-1545.3s] 很简单
[1545.3s-1547.5s] 这个节点选对了主线
[1547.5s-1548.5s] 方向对了各股
[1548.5s-1548.9s] 选对了
[1549.1s-1550.3s] 这个可能很轻松
[1552.7s-1554.0s] 台上一分钟
[1554.3s-1556.0s] 台下十年工
[1556.8s-1559.9s] 你们只看到了我拿到大结果的现在
[1560.3s-1562.2s] 有多少人曾经经历过我
[1562.2s-1563.9s] 2010年到2016年
[1563.9s-1565.0s] 六年韭菜
[1565.5s-1566.5s] 在学KDG
[1566.5s-1567.8s] MAC定不灵鬼
[1567.8s-1568.4s] 不浪理
[1568.4s-1569.0s] 不浪理论
[1569.0s-1570.2s] 没有好的老时代
[1570.2s-1572.2s] 都是靠自己摸索痛苦的六年
[1572.5s-1573.2s] 前面亏码
[1573.2s-1574.7s] 学了一堆没用的东西
[1575.7s-1577.5s] 再到后面转型做超短
[1581.1s-1582.8s] 再到转型做超短
[1585.0s-1586.7s] 超短以后开始误导
[1586.7s-1588.3s] 开始从小资金做到
[1589.0s-1589.9s] A9以上
[1590.9s-1592.8s] 再到2023年量化时代
[1592.8s-1594.9s] AI时代到来又开始转型
[1595.3s-1596.2s] 做波段
[1598.4s-1599.8s] 我早就跟你们讲过
[1599.8s-1602.0s] 以前很多人在说超短试灵了怎么办
[1602.0s-1603.0s] 超短试灵了怎么办
[1603.0s-1604.4s] 我跟所有人说过
[1604.4s-1605.0s] 一句话还记得吗
[1605.0s-1606.2s] 所有的老粉应该都要记得
[1606.4s-1608.0s] 在2024年的时候
[1608.0s-1609.2s] 有多少人跟我说
[1609.2s-1610.4s] 超短试灵了怎么办
[1610.4s-1611.8s] 我跟大家说了一句话
[1611.8s-1612.9s] 超短试灵了又怎么样
[1612.9s-1615.2s] 这个市场哪有永恒赚钱的模式
[1616.6s-1619.2s] 能力在这里难道转型会不成功吗
[1619.3s-1621.3s] 现在事实证明这两三年的转型
[1621.3s-1622.2s] 没有成功吗
[1623.0s-1624.6s] 以前我是情绪流天花板
[1624.6s-1625.2s] 现在
[1626.2s-1626.8s] 改了
[1627.0s-1630.5s] 我可以配上波段流天花板的称号了吗
[1630.5s-1631.0s] 现在
[1633.2s-1635.0s] 现在我觉得我也可以了
[1637.4s-1638.8s] 这就是回到了一个本源
[1638.8s-1639.8s] 我跟你们讲过
[1639.8s-1641.2s] 综合能力强了
[1641.2s-1642.5s] 你做什么事情都强
[1642.5s-1644.9s] 你根本就不用去担心时代会变化
[1646.1s-1647.8s] 时代上面所有的变化
[1647.8s-1649.6s] 都是为你去做铺路的
[1649.6s-1652.4s] 因为你是那个最容易去适应时代的人
[1654.2s-1656.3s] 你是那个最容易去适应时代的人
[1656.3s-1658.9s] 其实时代的必要反而给了你更大的机会
[1661.0s-1662.9s] 有些人死板的固化的
[1662.9s-1664.9s] 原来可能做油资风格还能赚钱的
[1664.9s-1667.1s] 他未必能够一下子转型过来
[1677.0s-1677.7s] 是不是
[1680.2s-1680.8s] 是不是
[1682.2s-1684.2s] 兴奋有一些兴奋可能是刚进来
[1684.2s-1684.8s] 哇靠
[1685.6s-1686.8s] 这个直播间
[1687.2s-1688.9s] 老大一直吹牛逼吗
[1689.8s-1690.6s] 是不是吹牛逼
[1690.6s-1691.8s] 全部去听
[1692.6s-1694.5s] 所有的直播回放
[1695.3s-1696.7s] 去听所有的直播回放
[1698.7s-1699.2s] OK
[1699.7s-1701.9s] 我刚才说的就是我们每一个节点
[1701.9s-1703.3s] 和每一个细节当中
[1703.3s-1704.3s] 大家要学习的
[1705.0s-1706.6s] 所以没有跟你们在开玩笑
[1706.6s-1708.4s] 你们只要把这一轮主声
[1708.4s-1711.0s] 让的每一场直播吃透了
[1712.0s-1714.9s] 你的交易能力会有质的飞跃
[1716.4s-1717.0s] 好吧
[1717.5s-1719.9s] 如果你这点努力都不愿意花
[1720.2s-1721.5s] 那么这辈子
[1722.3s-1724.0s] 这辈子你都不可能稳定引力
[1724.0s-1724.9s] 记住我这句话
[1725.9s-1728.7s] 努力是不一定能拿到结果
[1729.2s-1730.9s] 但努力是必须品
[1734.7s-1735.4s] 你们懂吗
[1735.7s-1738.1s] 努力的人这个世界从来都不缺
[1738.5s-1741.0s] 但是可恶的是有些人亚根也不努力
[1741.2s-1742.4s] 自己的口袋自己都
[1743.8s-1744.3s] 不关心
[1748.1s-1748.7s] 能懂了吗
[1749.1s-1749.6s] 好OK
[1749.9s-1750.7s] 回到我们盘面
[1750.7s-1752.1s] 我打开指数则实
[1753.4s-1754.5s] 我跟你们讲过
[1756.3s-1759.4s] 我们现在因为这几天逆势我们赚钱了
[1759.4s-1760.8s] 我必须要强调一下
[1762.4s-1765.3s] 我们直播间现在新五类人
[1765.8s-1767.6s] 我跟你们说一下哪五类人
[1767.9s-1768.7s] 第一类人
[1769.6s-1770.3s] 第一类人
[1770.3s-1773.1s] 我对于这几天收到的评论
[1773.2s-1774.9s] 我给这五类人做了一个总结
[1774.9s-1776.5s] 你们看看你是属于哪一类
[1777.1s-1780.1s] 第一类交易能力非常牛逼
[1780.9s-1782.8s] 仓卫管控能力也非常牛逼
[1782.8s-1784.2s] 在这一个调整阶段
[1784.4s-1787.5s] 确确实实的没有因为我们选个股票好
[1787.5s-1788.9s] 赚到钱而膨胀
[1789.5s-1791.4s] 可能心中偶尔出现一差
[1791.4s-1793.1s] 那如果满仓该多好
[1793.3s-1795.1s] 但是他在交易行为上面
[1795.1s-1796.8s] 他一直控制住了仓卫
[1797.3s-1798.8s] 在这里稳稳的吃到肉
[1798.8s-1802.3s] 并且也不怕万一出现黑天鹅
[1803.7s-1805.6s] 这是最牛逼的人在我们直播间
[1805.6s-1809.6s] 这等优秀生大概占20%到30%
[1809.9s-1811.4s] 几具被交易能力
[1811.4s-1813.0s] 又具备管控能力
[1814.9s-1815.9s] 这是第一类
[1816.7s-1817.6s] 第二类是什么
[1817.9s-1818.9s] 我收到好多
[1819.7s-1820.8s] 我收到这几天
[1820.8s-1822.6s] 我大概收到了有10个左右
[1822.6s-1823.2s] 也不算多
[1823.2s-1824.3s] 我们直播间几千人
[1824.6s-1826.9s] 我收到了10条消息是这样子
[1826.9s-1827.5s] 老大
[1828.7s-1830.0s] 早知道我就满仓了
[1830.0s-1832.1s] 老大你选的票太牛了
[1832.1s-1833.7s] 我们其实是可以满仓的
[1834.7s-1835.8s] 类似于这种话
[1836.7s-1838.1s] 这一类人是什么
[1838.2s-1840.4s] 可能他交易能力也还可以
[1840.4s-1842.0s] 他能意识到这个阶段
[1842.0s-1843.4s] 是一个震荡期
[1843.8s-1845.3s] 不是那么好赚钱
[1845.3s-1847.9s] 但是看到手上的股票涨了
[1848.3s-1850.2s] 心中那种欲望就出来了
[1850.4s-1851.8s] 早知道满仓就好了
[1851.8s-1853.1s] 然后有可能也有可能
[1853.1s-1854.3s] 偷偷摸摸在满仓
[1856.9s-1857.6s] 能懂吗
[1857.6s-1859.3s] 控制不住心中的贪念
[1859.8s-1860.6s] 总在幻想
[1860.6s-1862.8s] 早知道满仓就总想着一夜报复
[1865.0s-1866.1s] 这是第二类人
[1866.1s-1868.2s] 他是知道现在震荡行情
[1868.2s-1869.1s] 要管理仓卫
[1869.5s-1871.1s] 但是他管不住自己
[1871.7s-1873.1s] 只要指数一涨
[1873.3s-1874.2s] 他就忍不住
[1874.9s-1876.1s] 为什么忍不住
[1876.5s-1879.1s] 里面的本源是因为他生怕
[1879.1s-1880.5s] 踏空阻升了
[1882.5s-1884.1s] 他每一天都在想的是
[1884.1s-1885.7s] 万一我踏空了怎么办
[1886.0s-1889.1s] 他为了万一宁可去冒
[1889.3s-1891.5s] 万分之9999的风险
[1892.4s-1893.3s] 这是第二类人
[1893.3s-1895.0s] 明知现在是震荡期
[1895.0s-1897.1s] 明知现在挣钱没有那么好挣
[1897.3s-1899.1s] 但是又被指数给勾引
[1899.1s-1900.4s] 又被个股给勾引
[1901.1s-1902.5s] 他忍不住这是第二类人
[1903.9s-1904.9s] 第三类人
[1906.6s-1907.5s] 第三类人
[1909.2s-1910.9s] 纯韭菜他也不懂
[1911.2s-1912.0s] 追涨杀街
[1912.3s-1914.0s] 红了就觉得行情来了
[1914.0s-1914.9s] 绿了就割
[1915.7s-1916.6s] 这是纯韭菜
[1917.2s-1919.1s] 追涨在震荡阶段
[1919.1s-1920.5s] 追涨杀街是大机会
[1921.5s-1922.6s] 无限网版收割
[1922.6s-1923.5s] 涨了去追了
[1923.8s-1924.4s] 追错票了
[1924.4s-1925.9s] 跌了又割了
[1925.9s-1926.7s] 割了又去涨
[1926.7s-1927.8s] 一割了又去追
[1928.3s-1929.9s] 一直被来回挨打
[1930.3s-1931.2s] 这是第三类人
[1931.2s-1932.5s] 我们叫做纯韭菜
[1934.0s-1935.1s] 第四类人
[1935.1s-1935.9s] 纯赌图
[1935.9s-1936.9s] 赌图我就不说了
[1936.9s-1937.8s] 没有用
[1937.8s-1939.1s] 我说了在我们直播间
[1939.1s-1941.5s] 一定存在20%左右的纯赌图
[1941.6s-1943.1s] 听不进去任何
[1943.4s-1945.5s] 主打就是一个all in all in
[1946.3s-1947.9s] 每天不赌一下都难受
[1947.9s-1949.0s] 这是纯赌图
[1949.5s-1950.3s] 第四类人
[1950.3s-1951.4s] 我们第五类人
[1951.4s-1952.9s] 我们直播间还有一类人
[1955.1s-1957.2s] 终于经过这一个多月
[1958.3s-1960.3s] 被我的能力给折腐了
[1962.0s-1962.8s] 现在
[1963.5s-1965.0s] 主打一个清楚明白
[1965.1s-1966.8s] 知道自己几斤几两
[1967.1s-1968.7s] 主打就是一个听话
[1969.4s-1970.8s] 在我们直播间
[1971.2s-1972.7s] 能够赚到钱的
[1972.7s-1974.9s] 就是第一类人和第五类人
[1975.7s-1977.7s] 第二类人跟第三类人
[1977.7s-1979.5s] 第四类人没有任何区别
[1979.5s-1981.2s] 最终的结果都是赚不到钱
[1982.3s-1984.2s] 所以我希望直播间慢慢的
[1984.2s-1986.6s] 你们都将都可以慢慢
[1986.6s-1988.0s] 一点点一点点的成为
[1988.0s-1989.5s] 第一类人和第五类人
[1992.0s-1992.4s] 好吧
[1992.4s-1994.7s] 一和五都能够赚到钱
[1995.1s-1996.0s] 二三四
[1996.3s-1997.3s] 结果都是一样的
[1997.3s-1998.1s] 没什么太大区别
[1998.1s-1999.6s] 最终的结果都不会太大区别
[2002.2s-2003.7s] 你是第一类商业房间的
[2003.7s-2004.6s] 不回彻忘不了
[2004.6s-2005.2s] 很好
[2006.2s-2008.3s] 只有自己亲身经历过
[2009.0s-2010.4s] 只有自己亲身经历过
[2010.4s-2011.4s] 才能守得住财富
[2011.4s-2012.6s] 我一直跟你们说过
[2012.9s-2015.4s] 为什么草根起家很容易
[2016.6s-2017.4s] 守不住
[2017.4s-2018.6s] 原因是什么
[2019.0s-2020.1s] 是因为
[2020.7s-2022.6s] 是因为他没有经历
[2023.0s-2024.0s] 所以守不住财富
[2024.0s-2025.8s] 但是经历过一次破产以后
[2026.4s-2028.3s] 如果草根第二次还能再起来
[2028.3s-2029.3s] 那他就守不住了
[2031.1s-2032.0s] 先武再一
[2032.0s-2032.9s] 没毛病
[2032.9s-2035.3s] 现在你们努力成为第五类
[2035.9s-2037.7s] 然后慢慢成为第一类
[2038.2s-2038.5s] 好吧
[2038.5s-2039.6s] 有这么一个过程
[2040.6s-2042.2s] 来那么今天
[2043.1s-2044.2s] 给你们行情差
[2044.2s-2046.0s] 所以给你们聊认知
[2046.0s-2047.9s] 聊如何去做好股票
[2048.4s-2050.0s] 聊底层会比较多
[2050.0s-2051.7s] 那么接下来我们回归到盘面
[2051.7s-2052.6s] 盘面上面
[2054.7s-2055.2s] 来
[2055.8s-2057.0s] 我们把几个点烙一下
[2057.1s-2057.8s] 就可以结束了
[2057.8s-2058.6s] 首先第一个
[2059.4s-2060.2s] 首先第一个
[2060.4s-2061.6s] 指数阶段没有变
[2062.4s-2063.0s] 这里
[2063.4s-2064.9s] 这轮主声浪已经结束了
[2064.9s-2066.0s] 早就跟你们讲过了
[2066.0s-2068.1s] 不要在天天跟我闹什么五阶段
[2068.1s-2069.0s] 毛线个五阶的
[2069.0s-2070.3s] 主声浪已经结束了
[2071.1s-2072.5s] 后面哪怕有新的主声浪
[2072.5s-2074.0s] 也是新的一阶段开始
[2074.0s-2074.7s] 懂了吗
[2075.1s-2076.3s] 现在已经归零了
[2076.3s-2077.4s] 现在进入行情
[2077.4s-2078.2s] 进入到什么
[2078.7s-2079.5s] 落实震荡
[2079.5s-2080.2s] 看到了没
[2080.9s-2082.2s] 反正到了上香
[2082.2s-2083.2s] 可能就要下来
[2083.2s-2085.1s] 到了下面又有可能会上去
[2085.1s-2086.2s] 就是震荡行情
[2086.7s-2088.4s] 不再做过多的重复了
[2088.4s-2088.9s] 有兴奋
[2088.9s-2090.2s] 我还是再重复一遍
[2090.9s-2092.7s] 要么走这个方式
[2092.7s-2093.6s] 载福震荡
[2093.6s-2094.4s] 要么这里
[2094.4s-2096.8s] 但是个人坑边向于这个阶段
[2096.8s-2097.3s] 载福震荡
[2097.3s-2098.9s] 因为这个阶段是因为战争的
[2098.9s-2100.2s] 突发消息引起了
[2101.1s-2101.7s] 能懂吗
[2101.7s-2103.7s] 所以我认为这个阶段更像这里
[2104.5s-2105.9s] 更像这里给你们放大看一下
[2105.9s-2108.4s] 到上下上下
[2108.8s-2110.6s] 调整到一定程度结束了以后
[2110.6s-2111.7s] 开启新的主声了
[2113.6s-2115.1s] 调整到一定程度以后
[2115.1s-2116.2s] 开启新的主声了
[2116.4s-2118.0s] 所以现在就属于这个阶段
[2118.0s-2119.6s] 那么这个阶段就属于我们的
[2119.6s-2120.8s] 三座两不座的
[2121.2s-2122.7s] 三座里面的其中一种座
[2122.7s-2124.3s] 为什么现在能座舱位
[2124.3s-2125.5s] 能在五六层舱位
[2126.1s-2127.6s] 因为现在有主线
[2128.2s-2129.3s] 在三天前
[2129.3s-2130.1s] 我就告诉过大家
[2130.1s-2131.9s] 现在市场有一个主线方向
[2131.9s-2132.8s] 是我们的什么
[2132.8s-2134.1s] PCB这个方向
[2134.1s-2135.2s] 今天的盘面
[2135.2s-2136.7s] 又再度印证了
[2136.7s-2140.1s] PCB是我们的市场最亮眼的载
[2140.8s-2143.0s] 在指数暴跌的情况下面
[2143.5s-2144.3s] PCB
[2144.9s-2146.4s] 逆势强势
[2148.3s-2149.7s] 逆势走强
[2153.8s-2154.4s] 对吧
[2154.4s-2156.0s] 所以这条细分主线
[2156.0s-2157.7s] 被我们三年前挖掘出来
[2158.0s-2159.3s] 已经勿用质疑了
[2159.3s-2161.4s] 我们也享受到了这一波
[2161.4s-2163.4s] 挖掘出主线的彭丽
[2164.2s-2166.2s] 今天也是让我们在这种大跌漆
[2166.2s-2167.8s] 赚的盆满泊满
[2169.0s-2170.0s] 赚的盆满泊满
[2170.0s-2171.1s] 新异概念股
[2172.5s-2173.6s] 新异概念股
[2173.6s-2175.3s] 叔叔服服今天全红
[2176.2s-2178.0s] 这个标的也是我
[2178.0s-2178.6s] 其中的一个概念
[2178.6s-2179.1s] 但这个标的
[2179.1s-2180.3s] 我让你们是做短线的
[2180.3s-2181.3s] 差不多就可以走了
[2181.3s-2182.8s] 没想到今天长得这么好
[2183.0s-2184.3s] 这个我就删掉了
[2184.3s-2185.5s] 这个我就删掉了
[2185.5s-2186.6s] 这也是我选的
[2186.6s-2187.9s] 京东方A还记得吧
[2199.2s-2200.0s] 三做两不做
[2200.0s-2200.3s] 是什么
[2200.3s-2201.4s] 去听昨天的回放
[2205.5s-2206.3s] 昨天的直播
[2206.3s-2207.7s] 反正你们有的是时间去
[2207.7s-2208.7s] 你们闲得很
[2209.1s-2211.0s] 都给我把历史直播回放去听完
[2211.8s-2213.1s] 这点努力都不让你付出
[2213.1s-2214.0s] 不要扬言
[2214.0s-2215.8s] 想要在股市当中好好赚钱
[2222.5s-2222.8s] 好
[2222.8s-2223.5s] OK
[2223.5s-2224.3s] 那么
[2225.7s-2227.9s] 这是我们聊到的关于指数阶段
[2227.9s-2229.0s] 我就不强调了
[2229.1s-2230.6s] 目前没有变化
[2231.1s-2232.7s] 有变化的时候
[2233.1s-2234.5s] 我会跟你们讲
[2235.9s-2236.8s] 能听懂吗
[2236.8s-2238.1s] 有变化了
[2238.1s-2238.9s] 我会跟你们讲
[2238.9s-2239.9s] 现在没有变化
[2239.9s-2240.8s] 指数环境阶段
[2240.8s-2242.0s] 如果说变了
[2242.0s-2243.1s] 我跟你们说
[2244.7s-2246.4s] 主线我就不多说了
[2246.4s-2247.3s] 我们选出来的
[2247.3s-2249.1s] 现在其实市场走的最好的
[2249.1s-2250.7s] 就是我点过的三大方向
[2250.7s-2251.3s] 第一大
[2251.9s-2253.8s] 长新科技类的
[2253.8s-2255.2s] 那么赵毅已经走到这个阶段了
[2255.2s-2255.8s] 我们不多说了
[2255.8s-2256.8s] 现在市场的分支主线
[2256.8s-2258.4s] 我刚才我们已经提过了
[2258.4s-2259.3s] 就是PCB
[2259.5s-2260.5s] 那么很多人在说
[2261.3s-2263.4s] 尾盘其实掏定率都有回手套的
[2263.4s-2265.1s] 但是掏定率有一个最大的问题
[2265.1s-2267.0s] 软件选的票不是市场的核心
[2267.3s-2268.9s] 今天市场的核心票
[2268.9s-2270.7s] 掏定率里面市场的核心票
[2270.7s-2271.8s] 是非常明显的
[2271.8s-2272.9s] 主要是两个标的
[2272.9s-2274.1s] 一个是常电
[2275.3s-2276.5s] 一个是常电
[2279.9s-2281.7s] 还有一个是华天
[2282.9s-2284.2s] 掏定率里面
[2284.2s-2285.8s] 目前市场验证完
[2285.8s-2287.6s] 最正宗的是封测端
[2288.3s-2289.7s] 封装封测端
[2291.6s-2292.4s] 能懂吗
[2292.6s-2294.7s] 封装封测目前来说
[2295.0s-2296.6s] 是市场认可的
[2296.6s-2299.2s] 掏定率里面最受益的方向
[2299.2s-2300.4s] 所以你们会发现
[2300.4s-2302.0s] 今天涨的好的股票
[2302.4s-2303.8s] 昨天叫做掏定率
[2303.8s-2304.7s] 机权身边
[2304.7s-2306.0s] 阿狗阿猫都涨
[2307.2s-2308.4s] 阿狗阿猫都涨
[2308.7s-2310.5s] 但是到今天你们就会发现
[2310.5s-2311.7s] 市场只涨
[2312.3s-2313.1s] 封装端
[2315.1s-2316.8s] 市场只涨封装端
[2320.7s-2321.4s] 能懂吗
[2324.2s-2324.8s] 能懂吗
[2325.4s-2327.4s] 所以这个你要看得懂
[2328.4s-2330.1s] 给你们做一个梳理
[2330.1s-2331.6s] 所以现在市场上面
[2331.6s-2333.5s] 其实是一分就两个赛道
[2333.5s-2334.3s] 走得比较强
[2334.3s-2336.2s] 一个就是我们的分支主线
[2336.2s-2338.2s] PCB 硬的要死
[2339.6s-2341.0s] 第二个是什么
[2341.0s-2342.4s] 第二个就是
[2343.5s-2344.8s] 所谓的掏定率
[2344.8s-2347.1s] 还是有活口留下来
[2347.1s-2349.8s] 但是肯定没有PCB走的好
[2349.8s-2351.9s] 它是部分个股走的好
[2351.9s-2353.8s] 所以这两个股票
[2353.8s-2355.8s] 是一分就两个赛道
[2355.8s-2356.8s] 部分个股走的好
[2357.4s-2358.7s] 部分个股走的好
[2363.2s-2364.0s] 能懂吗
[2364.9s-2365.6s] OK
[2365.6s-2367.1s] 所以市场上面的定位
[2367.1s-2368.3s] 我刚才给你们点的是
[2368.3s-2370.0s] 就是让你们看清楚市场
[2370.2s-2372.2s] 掏定率里面核心标地是谁
[2372.2s-2373.2s] 风向标是谁
[2373.8s-2375.5s] 新意概念里面的
[2375.5s-2376.7s] 新意自选里面
[2376.7s-2378.5s] 新意自选里面的是新意自选
[2378.5s-2379.5s] 你们不要混为一谈
[2380.1s-2381.0s] 直播间不是说
[2381.0s-2382.2s] 不会跟你们分享一些
[2382.2s-2384.0s] 板块里面的市场定位的一些标地
[2384.0s-2385.1s] 因为有些人看不懂
[2386.2s-2387.9s] 看不懂不知道自己的标地
[2387.9s-2389.5s] 属于什么地位
[2390.8s-2391.5s] OK
[2393.1s-2393.7s] OK
[2396.6s-2397.4s] 所以
[2398.0s-2399.0s] PCB三巨头
[2399.0s-2400.0s] 我们就不多说了
[2400.2s-2402.8s] 反正我们手上拿的是最牛逼的两个标地
[2402.8s-2404.1s] 无论是我选的
[2404.1s-2405.4s] 还是软件选的
[2405.7s-2408.0s] 都是PCB里面最牛的标地
[2410.1s-2410.9s] 能懂吗
[2411.1s-2412.2s] 就是无论是我选的
[2412.2s-2413.2s] 还是软件选的
[2413.3s-2414.8s] 软件概念股目前
[2415.2s-2417.5s] 目前是拿在手上的软件
[2417.5s-2418.6s] 概念股目前就三个
[2419.1s-2419.8s] 一个金方
[2419.8s-2420.3s] 一个东星
[2420.3s-2421.1s] 一个互电
[2424.0s-2424.6s] 一个金方
[2424.6s-2425.0s] 一个东星
[2425.0s-2425.8s] 一个互电
[2426.6s-2428.3s] PCB巨头什么时候去离场
[2428.3s-2429.3s] 卖股方法论
[2429.6s-2430.0s] 前天
[2430.0s-2430.9s] 昨天我都讲过了
[2430.9s-2431.6s] 我就不重复了
[2431.6s-2432.4s] 怎么去卖
[2432.6s-2433.4s] 讲得非常明确
[2433.4s-2434.3s] 我就不重复了
[2434.8s-2435.5s] 不天天跟你们
[2435.5s-2436.5s] 逼着巴拉捞倒了
[2436.5s-2437.0s] 好吧
[2437.6s-2438.1s] 怎么去卖
[2438.1s-2439.4s] 你们可以自己去听一下回放
[2440.6s-2441.5s] PCB三巨头
[2441.5s-2442.6s] 我就非常简单
[2442.6s-2443.2s] 再强调一遍
[2443.2s-2444.0s] 有兴奋
[2444.0s-2444.7s] 再说一遍
[2444.7s-2445.9s] 要么个股出现
[2445.9s-2446.9s] 巨量大阴线
[2446.9s-2450.1s] 要么整个PCB板块出现大面
[2450.7s-2452.6s] 要么地破五日线
[2452.6s-2453.6s] 你自己去选
[2453.6s-2454.8s] 这三种情况
[2455.8s-2456.9s] 是我们的卖点
[2456.9s-2458.8s] 当然有一些人可能自己定义了
[2458.8s-2460.3s] 三日线就要走也可以
[2460.9s-2462.1s] 但是一般情况下面
[2462.1s-2463.8s] 我们都以这三个标准为主
[2463.8s-2464.9s] 具体卖点上面
[2464.9s-2466.0s] 我们不去做固定
[2466.0s-2468.6s] 因为每个人的市场风格偏好不一样
[2469.2s-2470.2s] 要么爆亮音
[2470.2s-2471.2s] 要么破五日
[2471.2s-2474.5s] 要么整个科技PCB板块出现大面
[2475.8s-2476.9s] 出现大面
[2477.4s-2478.2s] 能懂吗
[2479.4s-2480.0s] 好
[2481.5s-2483.4s] 那么我们托定率里面
[2483.4s-2485.2s] 因为我们选软件选到的标地
[2485.2s-2486.2s] 不是最核心的标地
[2486.3s-2487.2s] 今天整体来说
[2487.2s-2488.2s] 掏定率两个标地
[2488.2s-2489.2s] 综合加起来
[2489.2s-2490.2s] 也算牛逼的
[2490.3s-2491.0s] 两个标地加起来
[2491.0s-2492.0s] 也就不亏負1.1
[2492.0s-2493.0s] 但是软件选了
[2493.0s-2493.5s] 互电涨了
[2493.5s-2493.8s] 8.8
[2493.8s-2495.3s] 今天软件还是赚钱
[2495.5s-2496.4s] 就是这么赚
[2497.5s-2498.8s] 软件也凶残得很
[2498.8s-2500.1s] 暴跌照样赚
[2501.5s-2504.3s] 而且东星昨天是有3.5个点的溢价的
[2504.3s-2506.4s] 金方也是有3.5个点的溢价的
[2506.4s-2507.9s] 其实这两个标地标地
[2507.9s-2508.9s] 从你买入那一课
[2508.9s-2510.3s] 开始算也是赚钱的
[2510.4s-2511.6s] 我们要客观的说
[2512.4s-2514.1s] 那么这两个标地要注意一下
[2514.1s-2515.0s] 它不是
[2515.2s-2517.1s] 它不是掏定率里面的核心
[2517.5s-2518.2s] 所以
[2519.1s-2520.6s] 所以我觉得
[2520.8s-2522.3s] 短线录一把就完事了
[2522.3s-2524.1s] 出现我们新法里面的卖点
[2524.1s-2525.2s] 该走还是要走
[2527.2s-2527.7s] 能懂吗
[2527.7s-2529.2s] 我帮你们定位就定清楚了
[2529.6s-2530.1s] 就是
[2530.9s-2532.2s] 掏定率非常明显
[2532.2s-2534.0s] 市场只认封装
[2535.7s-2537.8s] 市场只认封装
[2538.3s-2542.1s] 所以像本来我打算跟踪的两个标地
[2542.1s-2543.9s] 跟踪的两个标地金方跟东星
[2545.2s-2547.9s] 那么离场点就只能按照我们新法里面的
[2547.9s-2552.5s] 一短线的卖股方法去卖了
[2554.9s-2555.5s] 能懂吗
[2555.9s-2556.3s] 好了
[2556.3s-2557.2s] 那我讲的很明确了
[2557.2s-2559.7s] 这是关于我们目前软件概念股
[2559.7s-2561.0s] 和心意概念股
[2561.5s-2563.7s] 整体整体的一个情况
[2563.7s-2565.9s] 今天金方今天走的没有任何问题
[2566.2s-2568.1s] 有一些人东星15分钟不上水
[2568.1s-2569.4s] 走了也没有任何问题
[2569.4s-2570.9s] 这就说明你的交易能力是
[2570.9s-2572.1s] 还是比较优秀的
[2572.5s-2573.4s] 还是比较优秀的
[2573.4s-2574.5s] 因为你早上一看就能看
[2574.6s-2576.3s] 在淘定率里面大部分的个股
[2576.6s-2577.5s] 全是大面
[2577.7s-2579.3s] 市场只认封装
[2579.9s-2580.9s] 只认封装
[2580.9s-2582.6s] 所以你按照短线
[2582.6s-2583.9s] 新法里面的卖股方法论
[2583.9s-2586.2s] 今天处理掉了金方和处理掉了东星
[2586.2s-2587.0s] 也是对的
[2587.4s-2589.1s] 而且你处理完今天还是赚钱的
[2589.1s-2590.9s] 因为昨天你有7个点的溢价
[2591.6s-2592.2s] 没毛病吧
[2592.2s-2592.6s] 来
[2592.9s-2593.8s] 很多人可能都忘了
[2593.8s-2594.8s] 我的记忆力太好了
[2595.3s-2596.4s] 然后我的记忆力太好了
[2597.1s-2599.8s] 昨天我们是有7个点的溢价的
[2601.3s-2602.2s] 来我们看一下
[2604.4s-2606.5s] 那你们自己看是不是有7个点
[2607.4s-2608.5s] 3.45加3.3
[2608.5s-2609.6s] 7个点不到一点点
[2610.0s-2625.1s] 东星跟金方能懂吗
[2627.5s-2628.3s] 能理解吗
[2629.5s-2630.0s] OK
[2630.0s-2630.5s] 好
[2630.5s-2632.5s] 那么这是关于我们的个股层面的
[2632.5s-2633.2s] 也跟大家讲完了
[2633.2s-2635.6s] 以后直播间每一天都会跟你们讲
[2635.6s-2637.1s] 拆解一下个股
[2637.2s-2638.9s] 那么今天的个股我们看一下
[2638.9s-2639.1s] 来
[2639.1s-2641.1s] 今天我们软件选到的是
[2641.8s-2642.7s] 券商方向
[2643.1s-2644.1s] 中心箭头
[2645.2s-2646.8s] 最近怎么说
[2648.4s-2649.5s] 等一下
[2649.5s-2650.2s] 在讲这个之前
[2650.2s-2650.8s] 我先讲一下
[2652.1s-2654.0s] 我们还有一个方向也非常的硬
[2654.5s-2655.4s] 你们有没有发现
[2655.4s-2658.3s] 只要科技调整机器人就扛起大棋
[2659.5s-2661.4s] 曾经跟你们讲到过的
